RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
1,1,Bubba Watson,83,319.6,"50,490",158,2006,avg_driv_dist
2,2,J.B. Holmes,81,318.8,"49,098",154,2006,avg_driv_dist
3,3,Robert Garrigus,85,309.8,"51,426",166,2006,avg_driv_dist
4,4,Brett Wetterich,82,307.8,"50,472",164,2006,avg_driv_dist
5,5,John Daly,51,307.1,"30,099",98,2006,avg_driv_dist
6,6,Tiger Woods,55,306.4,"31,865",104,2006,avg_driv_dist
7,7,Ryan Hietala,61,305.9,"36,096",118,2006,avg_driv_dist
8,8,Tag Ridings,103,305.3,"61,054",200,2006,avg_driv_dist
9,9,Harrison Frazar,95,304.6,"55,439",182,2006,avg_driv_dist
10,10,Charley Hoffman,100,304.4,"59,657",196,2006,avg_driv_dist
11,11,Scott Gutschewski,53,303.3,"30,933",102,2006,avg_driv_dist
12,12,Alex Aragon,63,302.6,"36,914",122,2006,avg_driv_dist
13,14,Camilo Villegas,95,302.1,"56,183",186,2006,avg_driv_dist
14,13,Davis Love III,85,301.9,"45,884",152,2006,avg_driv_dist
15,16,Fred Couples,52,301.5,"30,150",100,2006,avg_driv_dist
16,15,Adam Scott,70,301.1,"40,949",136,2006,avg_driv_dist
17,17,Phil Mickelson,74,300.7,"41,498",138,2006,avg_driv_dist
18,18,Nick Watney,97,300.6,"57,113",190,2006,avg_driv_dist
19,19,Matt Hansen,68,300.5,"39,670",132,2006,avg_driv_dist
20,20,Charles Warren,93,300.1,"54,018",180,2006,avg_driv_dist
21,21,Chris Couch,75,299.7,"44,959",150,2006,avg_driv_dist
22,22,Jason Gore,86,299.6,"50,333",168,2006,avg_driv_dist
23,26,Lucas Glover,105,299.4,"60,477",202,2006,avg_driv_dist
T24,T23,Roger Tambellini,64,299.2,"36,501",122,2006,avg_driv_dist
T24,T23,Chris Smith,67,299.2,"40,095",134,2006,avg_driv_dist
26,25,Jeff Overton,95,299.1,"55,629",186,2006,avg_driv_dist
27,27,Bubba Dickerson,98,298.8,"57,369",192,2006,avg_driv_dist
28,28,Troy Matteson,101,298.7,"60,346",202,2006,avg_driv_dist
29,29,Daniel Chopra,110,298.5,"63,885",214,2006,avg_driv_dist
T30,T30,Kris Cox,83,298.4,"48,348",162,2006,avg_driv_dist
T30,T30,Pat Perez,50,298.4,"29,844",100,2006,avg_driv_dist
32,33,Jon Mills,68,298.2,"39,362",132,2006,avg_driv_dist
33,34,Jonathan Byrd,66,298.1,"39,350",132,2006,avg_driv_dist
34,32,Retief Goosen,68,297.6,"35,711",120,2006,avg_driv_dist
T35,T35,David Duval,71,297.4,"41,035",138,2006,avg_driv_dist
T35,T35,Bo Van Pelt,102,297.4,"60,663",204,2006,avg_driv_dist
37,37,Brandt Jobe,91,297.2,"52,303",176,2006,avg_driv_dist
38,38,Jimmy Walker,60,296.9,"34,441",116,2006,avg_driv_dist
39,39,Henrik Bjornstad,97,296.8,"56,392",190,2006,avg_driv_dist
T40,T40,Will MacKenzie,91,296.7,"52,226",176,2006,avg_driv_dist
T40,T40,Bill Haas,99,296.7,"56,973",192,2006,avg_driv_dist
T40,T40,Brian Bateman,69,296.7,"38,573",130,2006,avg_driv_dist
43,43,James Driscoll,80,296.4,"47,418",160,2006,avg_driv_dist
44,T44,John Senden,96,296.2,"55,096",186,2006,avg_driv_dist
45,46,Mathew Goggin,72,296,"41,438",140,2006,avg_driv_dist
46,T44,J.J. Henry,96,295.9,"55,032",186,2006,avg_driv_dist
47,47,Ryan Palmer,101,295.8,"58,568",198,2006,avg_driv_dist
T48,T48,Rich Beem,85,295.6,"49,077",166,2006,avg_driv_dist
T48,T48,Nicholas Thompson,96,295.6,"54,984",186,2006,avg_driv_dist
50,50,John Rollins,93,295.5,"53,786",182,2006,avg_driv_dist
T51,T51,Charles Howell III,96,295.4,"54,939",186,2006,avg_driv_dist
T51,T51,Paul Stankowski,70,295.4,"41,360",140,2006,avg_driv_dist
53,53,Geoff Ogilvy,76,295.3,"41,336",140,2006,avg_driv_dist
T54,T55,Greg Owen,79,295.1,"45,441",154,2006,avg_driv_dist
T54,T55,Mathias Grönberg,92,295.1,"52,528",178,2006,avg_driv_dist
T54,T57,Ernie Els,69,295.1,"37,768",128,2006,avg_driv_dist
57,T57,Hunter Mahan,98,295,"57,812",196,2006,avg_driv_dist
58,54,Trevor Immelman,86,294.9,"50,715",172,2006,avg_driv_dist
59,59,Tim Herron,82,294.8,"47,753",162,2006,avg_driv_dist
60,60,Padraig Harrington,54,294.7,"29,466",100,2006,avg_driv_dist
T61,T61,Jonathan Kaye,95,294.6,"54,199",184,2006,avg_driv_dist
T61,T61,Eric Axley,91,294.6,"52,441",178,2006,avg_driv_dist
63,63,Craig Barlow,77,294.1,"42,936",146,2006,avg_driv_dist
64,T64,Robert Allenby,79,293.9,"45,253",154,2006,avg_driv_dist
65,T64,Vijay Singh,103,293.7,"58,748",200,2006,avg_driv_dist
66,66,Danny Ellis,68,293.6,"37,587",128,2006,avg_driv_dist
67,67,Kevin Sutherland,100,293.5,"56,347",192,2006,avg_driv_dist
68,68,Carlos Franco,86,293.4,"50,472",172,2006,avg_driv_dist
T69,T69,Jason Schultz,77,293.1,"43,970",150,2006,avg_driv_dist
T69,T69,Kenny Perry,73,293.1,"42,206",144,2006,avg_driv_dist
T71,T71,Bob May,65,292.7,"36,291",124,2006,avg_driv_dist
T71,T71,Sergio Garcia,59,292.7,"32,198",110,2006,avg_driv_dist
T71,T71,Sean O'Hair,100,292.7,"57,378",196,2006,avg_driv_dist
74,75,Ryan Moore,68,292.2,"37,988",130,2006,avg_driv_dist
T75,74,Stewart Cink,93,292,"51,399",176,2006,avg_driv_dist
T75,T76,John Huston,74,292,"42,055",144,2006,avg_driv_dist
T77,T78,Marco Dawson,87,291.9,"50,793",174,2006,avg_driv_dist
T77,T78,Ian Leggatt,80,291.9,"44,375",152,2006,avg_driv_dist
79,80,Michael Allen,84,291.8,"49,016",168,2006,avg_driv_dist
80,81,"Wes Short, Jr.",96,291.6,"54,814",188,2006,avg_driv_dist
81,82,D.J. Trahan,92,291.5,"52,473",180,2006,avg_driv_dist
82,83,Justin Rose,98,291.4,"55,367",190,2006,avg_driv_dist
83,T76,Chad Campbell,91,290.9,"50,610",174,2006,avg_driv_dist
84,86,Freddie Jacobson,56,290.7,"32,554",112,2006,avg_driv_dist
85,87,Len Mattiace,59,290.6,"34,294",118,2006,avg_driv_dist
86,88,Jesper Parnevik,84,290.5,"48,806",168,2006,avg_driv_dist
87,85,Rory Sabbatini,84,290.4,"48,207",166,2006,avg_driv_dist
