RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,year,measure
1,1,Bubba Watson,68,1.485,75.741,51,2012,sg_off_tee
2,2,Rory McIlroy,60,1.072,42.86,40,2012,sg_off_tee
T3,T3,Charlie Beljan,61,0.797,34.259,43,2012,sg_off_tee
T3,T3,Robert Garrigus,89,0.797,58.998,74,2012,sg_off_tee
5,5,Kyle Stanley,86,0.786,54.985,70,2012,sg_off_tee
6,6,Dustin Johnson,70,0.72,38.176,53,2012,sg_off_tee
7,7,Keegan Bradley,90,0.68,48.285,71,2012,sg_off_tee
8,8,Boo Weekley,74,0.668,38.763,58,2012,sg_off_tee
9,9,Lee Westwood,60,0.628,25.137,40,2012,sg_off_tee
10,10,John Rollins,81,0.627,44.522,71,2012,sg_off_tee
11,11,Adam Scott,59,0.605,24.786,41,2012,sg_off_tee
12,12,J.B. Holmes,90,0.585,45.664,78,2012,sg_off_tee
13,13,Josh Teater,97,0.57,47.287,83,2012,sg_off_tee
T14,T14,Jason Dufner,83,0.553,35.384,64,2012,sg_off_tee
T14,T14,Tiger Woods,69,0.553,26.521,48,2012,sg_off_tee
16,16,Billy Horschel,63,0.546,26.227,48,2012,sg_off_tee
17,17,Will Claxton,99,0.524,45.055,86,2012,sg_off_tee
18,18,John Senden,81,0.503,31.197,62,2012,sg_off_tee
19,19,Graham DeLaet,79,0.5,35.465,71,2012,sg_off_tee
20,20,Louis Oosthuizen,65,0.496,24.291,49,2012,sg_off_tee
21,21,Graeme McDowell,55,0.49,18.636,38,2012,sg_off_tee
22,22,Ryan Palmer,81,0.485,34.446,71,2012,sg_off_tee
23,23,Scott Piercy,95,0.476,40.905,86,2012,sg_off_tee
24,24,Bill Haas,79,0.472,28.79,61,2012,sg_off_tee
25,25,Rickie Fowler,84,0.458,30.216,66,2012,sg_off_tee
26,26,Bo Van Pelt,84,0.45,29.258,65,2012,sg_off_tee
27,27,Vijay Singh,99,0.435,35.27,81,2012,sg_off_tee
28,28,Jeff Overton,101,0.434,39.94,92,2012,sg_off_tee
29,29,Hunter Mahan,88,0.4,25.582,64,2012,sg_off_tee
30,30,Scott Stallings,78,0.393,26.707,68,2012,sg_off_tee
31,31,John Huh,99,0.391,33.219,85,2012,sg_off_tee
32,32,Chris Couch,61,0.377,20.378,54,2012,sg_off_tee
33,33,Martin Laird,77,0.374,20.21,54,2012,sg_off_tee
34,34,Charl Schwartzel,56,0.356,14.227,40,2012,sg_off_tee
T35,T35,Seung-Yul Noh,105,0.355,30.167,85,2012,sg_off_tee
T35,T35,Justin Rose,69,0.355,18.813,53,2012,sg_off_tee
37,37,Kevin Stadler,85,0.351,24.572,70,2012,sg_off_tee
38,38,Sergio Garcia,57,0.346,15.215,44,2012,sg_off_tee
39,39,Henrik Stenson,51,0.343,14.402,42,2012,sg_off_tee
40,40,Brian Harman,101,0.337,29.631,88,2012,sg_off_tee
41,41,Greg Owen,90,0.336,25.836,77,2012,sg_off_tee
42,42,Charley Hoffman,88,0.334,25.388,76,2012,sg_off_tee
43,43,Bobby Gates,87,0.331,25.168,76,2012,sg_off_tee
44,44,Gary Woodland,70,0.32,16.972,53,2012,sg_off_tee
45,45,Jeff Maggert,83,0.287,22.381,78,2012,sg_off_tee
46,46,Harris English,98,0.286,24.844,87,2012,sg_off_tee
47,47,Tim Clark,60,0.285,14.25,50,2012,sg_off_tee
T48,T48,John Daly,50,0.272,10.343,38,2012,sg_off_tee
T48,T48,Ernie Els,80,0.272,17.687,65,2012,sg_off_tee
50,50,Sean O'Hair,84,0.255,19.416,76,2012,sg_off_tee
51,51,Heath Slocum,93,0.248,18.631,75,2012,sg_off_tee
52,52,Rory Sabbatini,84,0.247,17.806,72,2012,sg_off_tee
53,53,Roberto Castro,92,0.244,18.317,75,2012,sg_off_tee
54,54,Blake Adams,107,0.237,20.843,88,2012,sg_off_tee
55,55,Kevin Chappell,91,0.228,16.427,72,2012,sg_off_tee
56,56,Jim Furyk,85,0.225,14.613,65,2012,sg_off_tee
57,57,Webb Simpson,77,0.222,14.636,66,2012,sg_off_tee
58,58,Erik Compton,81,0.215,13.728,64,2012,sg_off_tee
59,59,Tom Gillis,75,0.207,14.285,69,2012,sg_off_tee
60,60,Davis Love III,64,0.206,10.709,52,2012,sg_off_tee
61,61,John Merrick,83,0.202,14.537,72,2012,sg_off_tee
62,62,Daniel Summerhays,81,0.2,13.607,68,2012,sg_off_tee
T63,T63,Ángel Cabrera,54,0.198,7.32,37,2012,sg_off_tee
T63,T63,Brandt Jobe,57,0.198,8.903,45,2012,sg_off_tee
65,65,Cameron Tringale,88,0.195,15.021,77,2012,sg_off_tee
66,66,Padraig Harrington,67,0.193,8.669,45,2012,sg_off_tee
67,67,Kris Blanks,65,0.192,11.517,60,2012,sg_off_tee
68,68,Ian Poulter,57,0.186,7.07,38,2012,sg_off_tee
69,69,Brendon de Jonge,115,0.185,18.822,102,2012,sg_off_tee
T70,T70,Scott Brown,65,0.17,8.689,51,2012,sg_off_tee
T70,T70,Gary Christian,91,0.17,12.716,75,2012,sg_off_tee
72,72,Ryan Moore,89,0.163,13.234,81,2012,sg_off_tee
73,73,Geoff Ogilvy,73,0.158,8.674,55,2012,sg_off_tee
74,74,Tim Herron,88,0.152,11.559,76,2012,sg_off_tee
75,75,David Toms,60,0.131,5.764,44,2012,sg_off_tee
76,76,Chez Reavie,83,0.125,8.255,66,2012,sg_off_tee
77,77,Hunter Haas,69,0.123,6.384,52,2012,sg_off_tee
78,78,Jason Day,57,0.121,5.669,47,2012,sg_off_tee
79,79,Steve Stricker,73,0.116,6.257,54,2012,sg_off_tee
80,80,Zach Johnson,95,0.112,8.27,74,2012,sg_off_tee
T81,T81,Matt Kuchar,86,0.11,7.285,66,2012,sg_off_tee
T81,T81,Kevin Streelman,89,0.11,8.443,77,2012,sg_off_tee
T83,T83,Harrison Frazar,56,0.108,5.198,48,2012,sg_off_tee
T83,T83,Mathew Goggin,65,0.108,5.967,55,2012,sg_off_tee
T85,T85,Kevin Kisner,69,0.106,5.61,53,2012,sg_off_tee
T85,T85,Richard Lee,71,0.106,6.015,57,2012,sg_off_tee
87,87,Ben Crane,73,0.102,6.343,62,2012,sg_off_tee
88,88,Pat Perez,81,0.099,6.84,69,2012,sg_off_tee
89,89,Charles Howell III,98,0.098,7.561,77,2012,sg_off_tee
90,90,D.J. Trahan,73,0.088,5.446,62,2012,sg_off_tee
91,91,Brendan Steele,77,0.084,5.363,64,2012,sg_off_tee
T92,T92,Billy Mayfair,90,0.08,6.244,78,2012,sg_off_tee
T92,T92,Camilo Villegas,79,0.08,5.812,73,2012,sg_off_tee
94,94,Martin Flores,95,0.077,6.294,82,2012,sg_off_tee
95,95,Sangmoon Bae,81,0.069,3.957,57,2012,sg_off_tee
96,96,D.A. Points,88,0.067,5.398,80,2012,sg_off_tee
97,97,Bud Cauley,99,0.065,5.936,91,2012,sg_off_tee
98,98,K.J. Choi,71,0.064,3.577,56,2012,sg_off_tee
99,99,Scott Dunlap,57,0.062,2.864,46,2012,sg_off_tee
100,100,Rod Pampling,88,0.061,4.195,69,2012,sg_off_tee
101,101,Edward Loar,59,0.059,2.535,43,2012,sg_off_tee
102,102,Kyle Reifers,86,0.056,4.143,74,2012,sg_off_tee
103,103,Bill Lunde,83,0.052,3.48,67,2012,sg_off_tee
104,104,J.J. Henry,93,0.051,3.592,71,2012,sg_off_tee
105,105,Russell Knox,72,0.049,2.739,56,2012,sg_off_tee
106,106,Carl Pettersson,92,0.041,3.252,80,2012,sg_off_tee
107,107,Chris Kirk,93,0.032,2.725,85,2012,sg_off_tee
