RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,year,measure
1,1,Brandt Snedeker,81,0.86,55.901,65,2012,sg_putting
2,2,Luke Donald,63,0.818,39.258,48,2012,sg_putting
3,3,Jonas Blixt,72,0.804,51.477,64,2012,sg_putting
4,4,Brian Gay,91,0.704,54.888,78,2012,sg_putting
5,5,Bryce Molder,83,0.666,47.29,71,2012,sg_putting
6,6,Martin Flores,95,0.656,53.826,82,2012,sg_putting
7,7,Derek Lamely,64,0.636,35.62,56,2012,sg_putting
8,8,Aaron Baddeley,73,0.604,33.197,55,2012,sg_putting
9,9,Gavin Coles,72,0.591,33.67,57,2012,sg_putting
10,10,Zach Johnson,95,0.568,42,74,2012,sg_putting
11,11,Phil Mickelson,79,0.562,33.707,60,2012,sg_putting
12,12,Bo Van Pelt,84,0.542,35.208,65,2012,sg_putting
13,13,Jason Day,57,0.526,24.741,47,2012,sg_putting
14,14,Y.E. Yang,64,0.516,24.781,48,2012,sg_putting
15,15,Greg Chalmers,88,0.506,37.934,75,2012,sg_putting
16,16,Ben Curtis,62,0.505,24.238,48,2012,sg_putting
17,17,Matt Kuchar,86,0.472,31.151,66,2012,sg_putting
18,18,Ryan Palmer,81,0.453,32.168,71,2012,sg_putting
19,19,Carl Pettersson,92,0.444,35.496,80,2012,sg_putting
20,20,James Driscoll,83,0.434,30.362,70,2012,sg_putting
21,21,Ben Crane,73,0.432,26.762,62,2012,sg_putting
T22,T22,Brendon Todd,78,0.427,26.891,63,2012,sg_putting
T22,T22,Jimmy Walker,101,0.427,38.829,91,2012,sg_putting
24,24,Ryan Moore,89,0.424,34.312,81,2012,sg_putting
25,25,Jim Furyk,85,0.423,27.493,65,2012,sg_putting
26,26,Sergio Garcia,57,0.4,17.601,44,2012,sg_putting
27,27,Brian Davis,91,0.37,29.211,79,2012,sg_putting
28,28,Michael Thompson,80,0.355,23.097,65,2012,sg_putting
29,29,Ryuji Imada,78,0.351,24.242,69,2012,sg_putting
30,30,Ken Duke,104,0.349,31.447,90,2012,sg_putting
31,31,Johnson Wagner,88,0.346,26.284,76,2012,sg_putting
32,32,Tiger Woods,69,0.339,16.282,48,2012,sg_putting
33,33,David Mathis,83,0.338,23.324,69,2012,sg_putting
34,34,Daniel Chopra,55,0.331,14.231,43,2012,sg_putting
T35,T35,Keegan Bradley,90,0.33,23.445,71,2012,sg_putting
T35,T35,Spencer Levin,81,0.33,21.79,66,2012,sg_putting
37,37,Kevin Kisner,69,0.303,16.053,53,2012,sg_putting
38,38,Stewart Cink,71,0.301,16.239,54,2012,sg_putting
39,39,Jeff Overton,101,0.293,26.961,92,2012,sg_putting
40,40,William McGirt,96,0.282,22.289,79,2012,sg_putting
41,41,Charlie Wi,86,0.279,20.398,73,2012,sg_putting
42,42,Billy Hurley III,70,0.276,15.721,57,2012,sg_putting
43,43,Jonathan Byrd,69,0.262,14.686,56,2012,sg_putting
44,44,David Hearn,95,0.261,23.003,88,2012,sg_putting
45,45,Brandt Jobe,57,0.257,11.553,45,2012,sg_putting
46,46,Nathan Green,73,0.248,14.162,57,2012,sg_putting
T47,T47,George McNeill,85,0.238,16.899,71,2012,sg_putting
T47,T47,Geoff Ogilvy,73,0.238,13.063,55,2012,sg_putting
49,49,Blake Adams,107,0.232,20.406,88,2012,sg_putting
50,50,Tommy Biershenk,74,0.224,12.972,58,2012,sg_putting
51,51,Scott Piercy,95,0.221,19.034,86,2012,sg_putting
52,52,Tom Gillis,75,0.217,14.94,69,2012,sg_putting
53,53,Webb Simpson,77,0.211,13.911,66,2012,sg_putting
54,54,Ryo Ishikawa,54,0.196,7.249,37,2012,sg_putting
55,55,Kevin Na,80,0.193,12.574,65,2012,sg_putting
56,56,John Daly,50,0.192,7.294,38,2012,sg_putting
57,57,Richard Lee,71,0.189,10.775,57,2012,sg_putting
58,58,Dustin Johnson,70,0.185,9.8,53,2012,sg_putting
