RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,year,measure
1,1,Rickie Fowler,78,0.852,53.705,63,2017,sg_putting
2,2,Michael Thompson,60,0.84,36.94,44,2017,sg_putting
3,3,Luke Donald,50,0.704,30.285,43,2017,sg_putting
4,4,Brian Harman,104,0.6,51.596,86,2017,sg_putting
5,11,Brooks Koepka,88,0.581,38.933,67,2017,sg_putting
6,5,Patrick Reed,107,0.577,48.482,84,2017,sg_putting
7,7,Brandt Snedeker,53,0.572,24.043,42,2017,sg_putting
8,8,Graeme McDowell,56,0.563,28.174,50,2017,sg_putting
9,9,Jonas Blixt,74,0.536,31.627,59,2017,sg_putting
10,10,Louis Oosthuizen,69,0.53,27.008,51,2017,sg_putting
11,12,Mackenzie Hughes,106,0.492,47.265,96,2017,sg_putting
12,13,Gonzalo Fernandez-Castaño,63,0.489,21.522,44,2017,sg_putting
13,14,David Lingmerth,79,0.484,33.406,69,2017,sg_putting
T14,T15,Steve Wheatcroft,51,0.479,19.148,40,2017,sg_putting
T14,T15,Shane Lowry,52,0.479,18.183,38,2017,sg_putting
T16,T17,Rafa Cabrera Bello,63,0.473,21.756,46,2017,sg_putting
T16,T17,Søren Kjeldsen,58,0.473,16.081,34,2017,sg_putting
18,19,Cody Gribble,79,0.461,32.251,70,2017,sg_putting
19,20,Ernie Els,52,0.458,16.959,37,2017,sg_putting
T20,T21,Brian Gay,82,0.451,31.106,69,2017,sg_putting
T20,T21,Peter Malnati,91,0.451,32.905,73,2017,sg_putting
22,23,Whee Kim,74,0.443,27.484,62,2017,sg_putting
23,T30,Russell Henley,99,0.434,37.282,86,2017,sg_putting
T24,T24,Chez Reavie,98,0.417,34.584,83,2017,sg_putting
T24,T24,Zach Johnson,81,0.417,28.326,68,2017,sg_putting
26,38,Adam Hadwin,98,0.409,32.297,79,2017,sg_putting
T27,27,Blayne Barber,77,0.402,26.929,67,2017,sg_putting
T27,26,Xander Schauffele,96,0.402,29.754,74,2017,sg_putting
29,28,Camilo Villegas,76,0.4,24.802,62,2017,sg_putting
30,36,Kevin Kisner,105,0.388,29.846,77,2017,sg_putting
31,29,Brian Campbell,55,0.385,15.773,41,2017,sg_putting
32,T30,Bryce Molder,74,0.383,24.539,64,2017,sg_putting
T33,T33,Billy Hurley III,80,0.374,25.771,69,2017,sg_putting
T33,T33,Harris English,84,0.374,26.956,72,2017,sg_putting
35,37,Sebastián Muñoz,51,0.358,13.952,39,2017,sg_putting
36,32,Marc Leishman,94,0.356,25.972,73,2017,sg_putting
37,35,Jason Day,71,0.354,19.497,55,2017,sg_putting
38,52,Pat Perez,93,0.346,25.281,73,2017,sg_putting
39,40,Wesley Bryan,95,0.34,26.142,77,2017,sg_putting
40,41,Phil Mickelson,85,0.337,23.222,69,2017,sg_putting
41,42,Nicholas Lindheim,58,0.336,14.796,44,2017,sg_putting
42,43,Ryan Blaum,100,0.334,27.369,82,2017,sg_putting
T43,44,Justin Thomas,86,0.332,21.583,65,2017,sg_putting
T43,48,Matt Kuchar,95,0.332,25.595,77,2017,sg_putting
45,47,Greg Chalmers,75,0.316,21.515,68,2017,sg_putting
46,49,Graham DeLaet,82,0.291,20.639,71,2017,sg_putting
47,50,Stewart Cink,93,0.286,23.17,81,2017,sg_putting
48,45,Jordan Spieth,85,0.278,18.896,68,2017,sg_putting
49,51,Scott Brown,95,0.276,21.562,78,2017,sg_putting
50,53,Hunter Mahan,73,0.268,15.83,59,2017,sg_putting
51,54,Kevin Na,86,0.265,17.507,66,2017,sg_putting
52,55,Kevin Tway,96,0.261,19.311,74,2017,sg_putting
53,56,Ricky Barnes,100,0.26,19.991,77,2017,sg_putting
54,57,Charl Schwartzel,63,0.257,12.345,48,2017,sg_putting
55,39,Jon Rahm,90,0.256,16.906,66,2017,sg_putting
56,58,Martin Laird,83,0.253,18.194,72,2017,sg_putting
57,59,Danny Lee,93,0.247,18.754,76,2017,sg_putting
58,60,Seung-Yul Noh,91,0.244,18.292,75,2017,sg_putting
59,61,Martin Flores,88,0.242,16.203,67,2017,sg_putting
60,62,Michael Kim,94,0.229,19.248,84,2017,sg_putting
61,63,Tag Ridings,67,0.203,10.128,50,2017,sg_putting
62,64,Jim Furyk,54,0.187,8.211,44,2017,sg_putting
63,65,K.J. Choi,72,0.176,9.494,54,2017,sg_putting
64,66,Seamus Power,86,0.174,11.845,68,2017,sg_putting
T65,T67,Charles Howell III,86,0.172,11.728,68,2017,sg_putting
T65,T67,Carl Pettersson,63,0.172,8.957,52,2017,sg_putting
67,69,Matt Jones,64,0.17,8.67,51,2017,sg_putting
68,46,Patrick Cantlay,52,0.159,7.3,46,2017,sg_putting
69,71,Sung Kang,104,0.154,12.609,82,2017,sg_putting
70,70,Daniel Berger,91,0.149,10.262,69,2017,sg_putting
71,72,Vaughn Taylor,90,0.139,10.553,76,2017,sg_putting
72,73,Sam Saunders,76,0.138,8.434,61,2017,sg_putting
73,74,Jimmy Walker,68,0.135,6.747,50,2017,sg_putting
74,93,Paul Casey,94,0.133,9.408,71,2017,sg_putting
75,75,Cameron Tringale,89,0.125,8.101,65,2017,sg_putting
76,76,John Huh,92,0.124,9.452,76,2017,sg_putting
77,77,Johnson Wagner,71,0.12,6.821,57,2017,sg_putting
78,78,Daniel Summerhays,100,0.11,9.021,82,2017,sg_putting
79,79,Brandon Hagy,85,0.109,7.504,69,2017,sg_putting
80,80,Sean O'Hair,84,0.107,7.508,70,2017,sg_putting
81,82,Derek Fathauer,81,0.094,5.99,64,2017,sg_putting
T82,T83,Billy Horschel,88,0.084,6.719,80,2017,sg_putting
T82,T83,Cameron Smith,86,0.084,5.978,71,2017,sg_putting
84,85,Chad Collins,66,0.079,4.292,54,2017,sg_putting
T85,T86,Julián Etulain,68,0.078,3.994,51,2017,sg_putting
T85,T86,Morgan Hoffmann,92,0.078,6.427,82,2017,sg_putting
87,89,Bill Haas,92,0.055,3.956,72,2017,sg_putting
88,88,Webb Simpson,102,0.049,4.124,84,2017,sg_putting
89,91,Aaron Baddeley,61,0.044,2.004,46,2017,sg_putting
90,92,Geoff Ogilvy,80,0.043,2.889,67,2017,sg_putting
91,T94,James Hahn,96,0.036,2.947,81,2017,sg_putting
92,96,Zac Blair,105,0.035,2.795,81,2017,sg_putting
93,97,Spencer Levin,89,0.03,1.98,67,2017,sg_putting
94,98,Ian Poulter,72,0.025,1.358,55,2017,sg_putting
95,99,Andres Gonzales,73,0.023,1.324,57,2017,sg_putting
T96,81,Dustin Johnson,77,0.019,1.125,59,2017,sg_putting
T96,100,Tom Hoge,54,0.019,0.734,39,2017,sg_putting
98,101,Tim Wilkinson,64,0.009,0.416,46,2017,sg_putting
99,102,Robert Streb,98,0.003,0.222,84,2017,sg_putting
100,T103,Richy Werenski,81,0,0.022,61,2017,sg_putting
101,T94,Jason Dufner,89,-0.001,-0.055,72,2017,sg_putting
102,105,Hudson Swafford,94,-0.005,-0.351,76,2017,sg_putting
103,106,Fabián Gómez,61,-0.006,-0.281,51,2017,sg_putting
104,90,Charley Hoffman,112,-0.012,-1.072,93,2017,sg_putting
T105,T107,Brendan Steele,89,-0.013,-0.92,71,2017,sg_putting
T105,T107,C.T. Pan,88,-0.013,-1.022,76,2017,sg_putting
107,109,Mark Anderson,54,-0.016,-0.665,42,2017,sg_putting
T108,T110,Ryan Moore,82,-0.017,-1.135,65,2017,sg_putting
T108,T110,Jamie Lovemark,98,-0.017,-1.339,80,2017,sg_putting
T108,T110,Troy Merritt,82,-0.017,-1.156,70,2017,sg_putting
111,113,Ollie Schniederjans,92,-0.019,-1.526,81,2017,sg_putting
112,114,William McGirt,89,-0.025,-1.803,72,2017,sg_putting
113,115,Lucas Glover,93,-0.026,-2.239,86,2017,sg_putting
114,116,J.J. Spaun,92,-0.027,-1.963,72,2017,sg_putting
115,117,Ryan Armour,63,-0.029,-1.42,49,2017,sg_putting
116,118,J.B. Holmes,83,-0.032,-1.978,61,2017,sg_putting
117,119,Dominic Bozzelli,69,-0.033,-1.803,55,2017,sg_putting
118,120,Ben Martin,86,-0.044,-3.114,70,2017,sg_putting
119,121,David Hearn,93,-0.052,-3.704,71,2017,sg_putting
T120,T122,Shawn Stefani,72,-0.057,-3.427,60,2017,sg_putting
T120,T122,Trey Mullinax,88,-0.057,-3.986,70,2017,sg_putting
122,T103,Justin Rose,66,-0.063,-3.339,53,2017,sg_putting
123,124,Patrick Rodgers,76,-0.066,-4.378,66,2017,sg_putting
124,125,Chris Kirk,89,-0.074,-5.152,70,2017,sg_putting
125,126,Jonathan Randolph,68,-0.076,-3.868,51,2017,sg_putting
126,127,Grayson Murray,94,-0.082,-6.93,85,2017,sg_putting
127,128,Francesco Molinari,75,-0.089,-5.244,59,2017,sg_putting
128,129,Adam Scott,58,-0.097,-4.06,42,2017,sg_putting
129,130,Patton Kizzire,84,-0.103,-7.426,72,2017,sg_putting
130,131,Nick Watney,75,-0.113,-7.248,64,2017,sg_putting
131,132,J.T. Poston,95,-0.117,-8.505,73,2017,sg_putting
132,133,Chris Stroud,67,-0.126,-6.046,48,2017,sg_putting
133,134,Jim Herman,77,-0.127,-8.381,66,2017,sg_putting
T134,143,Tony Finau,106,-0.133,-12.113,91,2017,sg_putting
T134,136,Jason Bohn,75,-0.133,-8.252,62,2017,sg_putting
T136,T137,Smylie Kaufman,76,-0.137,-8.611,63,2017,sg_putting
T136,T137,Brian Stuard,93,-0.137,-9.421,69,2017,sg_putting
138,139,Ryan Brehm,83,-0.149,-9.71,65,2017,sg_putting
139,140,Steven Bowditch,59,-0.15,-6.745,45,2017,sg_putting
140,141,Ben Crane,86,-0.155,-10.665,69,2017,sg_putting
141,142,Kelly Kraft,75,-0.157,-10.2,65,2017,sg_putting
142,144,Emiliano Grillo,90,-0.173,-11.407,66,2017,sg_putting
143,145,Bubba Watson,71,-0.187,-9.91,53,2017,sg_putting
144,146,Nick Taylor,97,-0.191,-15.842,83,2017,sg_putting
145,148,Bryson DeChambeau,91,-0.193,-14.116,73,2017,sg_putting
146,149,Mark Hubbard,81,-0.2,-12.184,61,2017,sg_putting
147,150,Ryo Ishikawa,56,-0.204,-8.769,43,2017,sg_putting
148,151,Cameron Percy,71,-0.205,-11.28,55,2017,sg_putting
149,152,Keegan Bradley,104,-0.216,-19.669,91,2017,sg_putting
150,153,Andrew Loupe,55,-0.242,-11.367,47,2017,sg_putting
151,154,Branden Grace,70,-0.248,-11.638,47,2017,sg_putting
152,155,Rick Lamb,54,-0.254,-9.64,38,2017,sg_putting
153,157,Matt Every,76,-0.272,-16.609,61,2017,sg_putting
154,158,Bud Cauley,92,-0.273,-22.35,82,2017,sg_putting
155,159,Kyle Reifers,96,-0.276,-20.397,74,2017,sg_putting
156,160,Kevin Streelman,90,-0.281,-21.945,78,2017,sg_putting
157,161,Chad Campbell,97,-0.286,-24.297,85,2017,sg_putting
158,168,Kevin Chappell,95,-0.303,-21.814,72,2017,sg_putting
