RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS,year,measure
1,1,Adam Scott,79,2.062,0.522,1.491,0.049,56,2016,sg_tee_to_green
2,2,Rory McIlroy,69,1.888,1.23,0.447,0.211,48,2016,sg_tee_to_green
3,3,Dustin Johnson,87,1.664,1.117,0.477,0.07,62,2016,sg_tee_to_green
4,4,Bubba Watson,72,1.359,0.983,0.393,-0.017,51,2016,sg_tee_to_green
5,5,Justin Rose,65,1.325,0.678,0.409,0.237,49,2016,sg_tee_to_green
6,6,Hideki Matsuyama,76,1.315,0.527,0.774,0.015,58,2016,sg_tee_to_green
7,7,Paul Casey,77,1.26,0.494,0.616,0.15,57,2016,sg_tee_to_green
8,8,Rickie Fowler,80,1.224,0.529,0.308,0.387,64,2016,sg_tee_to_green
9,9,Sergio Garcia,54,1.189,0.737,0.482,-0.031,31,2016,sg_tee_to_green
10,10,Charl Schwartzel,73,1.18,0.304,0.652,0.224,56,2016,sg_tee_to_green
11,11,Webb Simpson,70,1.149,0.146,0.728,0.276,58,2016,sg_tee_to_green
12,12,Gary Woodland,95,1.097,0.547,0.463,0.088,77,2016,sg_tee_to_green
13,13,Kevin Chappell,93,1.08,0.321,0.634,0.126,78,2016,sg_tee_to_green
14,14,Jason Day,76,0.987,0.186,0.426,0.375,54,2016,sg_tee_to_green
15,15,Branden Grace,63,0.96,0.326,0.603,0.032,42,2016,sg_tee_to_green
16,16,Matt Kuchar,100,0.932,0.364,0.326,0.242,77,2016,sg_tee_to_green
17,17,Keegan Bradley,82,0.929,0.305,0.419,0.205,63,2016,sg_tee_to_green
18,18,Ryan Palmer,86,0.868,0.625,0.234,0.009,78,2016,sg_tee_to_green
19,19,Francesco Molinari,64,0.859,0.192,0.484,0.183,57,2016,sg_tee_to_green
20,20,Louis Oosthuizen,63,0.857,0.387,0.3,0.17,42,2016,sg_tee_to_green
