RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,year,measure
1,1,Luke Donald,73,1.094,56.9,52,2011,sg_app_green
2,2,Chad Campbell,99,0.987,85.887,87,2011,sg_app_green
3,3,Phil Mickelson,79,0.9,52.18,58,2011,sg_app_green
4,4,Webb Simpson,98,0.755,62.666,83,2011,sg_app_green
5,5,Matt Kuchar,94,0.698,49.586,71,2011,sg_app_green
6,6,K.J. Choi,77,0.689,39.951,58,2011,sg_app_green
7,7,David Toms,78,0.669,39.486,59,2011,sg_app_green
8,8,Rory Sabbatini,85,0.657,40.089,61,2011,sg_app_green
9,9,Jim Furyk,87,0.643,44.997,70,2011,sg_app_green
10,10,Ernie Els,71,0.635,37.484,59,2011,sg_app_green
11,11,Chris Kirk,87,0.611,47.031,77,2011,sg_app_green
12,12,Nick Watney,80,0.604,37.476,62,2011,sg_app_green
13,13,Woody Austin,59,0.588,29.384,50,2011,sg_app_green
14,14,Ricky Barnes,78,0.584,37.364,64,2011,sg_app_green
15,15,Kris Blanks,92,0.576,47.846,83,2011,sg_app_green
16,16,Steve Stricker,70,0.538,28.535,53,2011,sg_app_green
17,17,Davis Love III,70,0.528,27.453,52,2011,sg_app_green
18,18,Kyle Stanley,98,0.515,41.228,80,2011,sg_app_green
T19,T19,Spencer Levin,113,0.508,47.745,94,2011,sg_app_green
T19,T19,Justin Rose,79,0.508,32,63,2011,sg_app_green
T21,T21,Robert Allenby,84,0.494,34.568,70,2011,sg_app_green
T21,T21,Joe Durant,71,0.494,31.596,64,2011,sg_app_green
23,23,Brian Davis,105,0.493,45.312,92,2011,sg_app_green
24,24,Boo Weekley,66,0.492,28.053,57,2011,sg_app_green
25,25,Chez Reavie,92,0.461,37.832,82,2011,sg_app_green
T26,T26,Aron Price,58,0.453,22.201,49,2011,sg_app_green
T26,T26,John Senden,94,0.453,36.674,81,2011,sg_app_green
28,28,Paul Goydos,81,0.452,33.463,74,2011,sg_app_green
29,29,Michael Bradley,74,0.448,26.436,59,2011,sg_app_green
30,30,D.J. Trahan,91,0.405,33.626,83,2011,sg_app_green
31,31,Kevin Stadler,88,0.4,29.176,73,2011,sg_app_green
32,32,Camilo Villegas,69,0.399,22.77,57,2011,sg_app_green
33,33,Stewart Cink,72,0.396,20.59,52,2011,sg_app_green
T34,T34,J.B. Holmes,57,0.388,18.218,47,2011,sg_app_green
T34,T34,Robert Karlsson,61,0.388,17.456,45,2011,sg_app_green
36,36,Chris DiMarco,93,0.383,31.432,82,2011,sg_app_green
37,37,Gary Woodland,93,0.38,26.608,70,2011,sg_app_green
38,38,Zach Johnson,79,0.349,22.35,64,2011,sg_app_green
39,39,Bo Van Pelt,92,0.344,24.433,71,2011,sg_app_green
40,40,Heath Slocum,89,0.339,25.113,74,2011,sg_app_green
41,41,Charles Howell III,108,0.333,30.309,91,2011,sg_app_green
T42,T42,Brendon de Jonge,105,0.312,28.683,92,2011,sg_app_green
T42,T42,Sergio Garcia,61,0.312,14.043,45,2011,sg_app_green
44,44,Kevin Streelman,90,0.305,21.631,71,2011,sg_app_green
45,45,Charl Schwartzel,58,0.287,11.481,40,2011,sg_app_green
46,46,Kevin Na,84,0.286,19.426,68,2011,sg_app_green
47,47,Robert Garrigus,83,0.28,19.33,69,2011,sg_app_green
48,48,Jimmy Walker,79,0.271,20.627,76,2011,sg_app_green
49,49,Brandt Jobe,100,0.262,21.216,81,2011,sg_app_green
50,50,Vijay Singh,79,0.26,18.722,72,2011,sg_app_green
51,51,Alex Cejka,59,0.259,12.185,47,2011,sg_app_green
52,52,Briny Baird,60,0.252,12.363,49,2011,sg_app_green
T53,T53,Jonathan Byrd,83,0.248,17.871,72,2011,sg_app_green
T53,T53,Jason Dufner,78,0.248,16.135,65,2011,sg_app_green
55,55,Scott Stallings,84,0.244,16.866,69,2011,sg_app_green
56,56,Arjun Atwal,91,0.241,20.024,83,2011,sg_app_green
57,57,Scott Piercy,78,0.24,15.122,63,2011,sg_app_green
58,58,Martin Laird,77,0.234,14.49,62,2011,sg_app_green
59,59,Chris Stroud,88,0.23,17.957,78,2011,sg_app_green
60,60,Ian Poulter,52,0.222,8.673,39,2011,sg_app_green
61,61,Retief Goosen,50,0.212,8.472,40,2011,sg_app_green
T62,T62,Padraig Harrington,60,0.209,9.404,45,2011,sg_app_green
T62,T62,Brendan Steele,89,0.209,16.123,77,2011,sg_app_green
64,64,Charley Hoffman,93,0.2,14.791,74,2011,sg_app_green
65,65,Shane Bertsch,62,0.199,10.34,52,2011,sg_app_green
66,66,Aaron Baddeley,77,0.196,12.17,62,2011,sg_app_green
67,67,Dustin Johnson,72,0.195,10.519,54,2011,sg_app_green
68,68,Rickie Fowler,84,0.194,12.834,66,2011,sg_app_green
69,69,Bubba Watson,85,0.193,11.397,59,2011,sg_app_green
70,70,Ryan Moore,79,0.192,11.506,60,2011,sg_app_green
T71,T71,Brandt Snedeker,85,0.191,12.783,67,2011,sg_app_green
T71,T71,Vaughn Taylor,89,0.191,15.813,83,2011,sg_app_green
73,73,Steve Marino,76,0.184,11.406,62,2011,sg_app_green
T74,T74,Jason Bohn,74,0.167,11.17,67,2011,sg_app_green
T74,T74,Tommy Gainey,104,0.167,15.228,91,2011,sg_app_green
76,76,Ben Crane,76,0.162,10.067,62,2011,sg_app_green
77,77,Jerry Kelly,85,0.161,10.939,68,2011,sg_app_green
78,78,Carl Pettersson,95,0.147,13.207,90,2011,sg_app_green
79,79,Sean O'Hair,71,0.14,8.422,60,2011,sg_app_green
80,80,John Merrick,71,0.134,8.019,60,2011,sg_app_green
81,81,Nick O'Hern,89,0.127,9.677,76,2011,sg_app_green
82,82,Ángel Cabrera,50,0.126,4.402,35,2011,sg_app_green
83,83,John Rollins,85,0.124,8.925,72,2011,sg_app_green
84,84,Brian Gay,90,0.117,8.629,74,2011,sg_app_green
85,85,Billy Mayfair,94,0.116,9.877,85,2011,sg_app_green
86,86,Freddie Jacobson,92,0.105,7.322,70,2011,sg_app_green
87,87,Anthony Kim,72,0.103,5.956,58,2011,sg_app_green
88,88,Adam Scott,60,0.102,4.603,45,2011,sg_app_green
89,89,Trevor Immelman,84,0.085,5.728,67,2011,sg_app_green
90,90,Kevin Chappell,78,0.082,5.006,61,2011,sg_app_green
91,91,J.J. Henry,96,0.08,6.356,79,2011,sg_app_green
92,92,Dean Wilson,62,0.073,4.148,57,2011,sg_app_green
93,93,Joseph Bramlett,73,0.068,4.157,61,2011,sg_app_green
94,94,Hunter Mahan,92,0.066,5.024,76,2011,sg_app_green
95,95,David Duval,67,0.065,3.751,58,2011,sg_app_green
96,96,Lucas Glover,74,0.052,3.178,61,2011,sg_app_green
97,97,Bill Haas,93,0.044,3.139,72,2011,sg_app_green
98,98,Michael Connell,76,0.042,3.052,72,2011,sg_app_green
99,99,George McNeill,69,0.039,2.263,58,2011,sg_app_green
100,100,Marc Leishman,87,0.034,2.713,80,2011,sg_app_green
T101,T101,Stephen Ames,69,0.029,1.731,60,2011,sg_app_green
T101,T101,Graeme McDowell,50,0.029,1.089,37,2011,sg_app_green
T101,T101,Geoff Ogilvy,69,0.029,1.558,54,2011,sg_app_green
104,104,Bill Lunde,92,0.027,2.106,77,2011,sg_app_green
105,105,Jason Day,76,0.026,1.541,59,2011,sg_app_green
106,106,David Hearn,88,0.016,1.237,76,2011,sg_app_green
