RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,year,measure
1,1,Chris Riley,77,0.728,48.751,67,2009,sg_around_green
2,2,Ian Poulter,59,0.65,27.299,42,2009,sg_around_green
3,3,Tiger Woods,64,0.579,27.791,48,2009,sg_around_green
4,4,Padraig Harrington,66,0.577,27.716,48,2009,sg_around_green
5,5,Jim Furyk,86,0.439,28.522,65,2009,sg_around_green
6,6,Phil Mickelson,66,0.383,18.366,48,2009,sg_around_green
7,7,Ryuji Imada,85,0.378,26.074,69,2009,sg_around_green
8,8,Charles Howell III,99,0.36,29.903,83,2009,sg_around_green
9,9,Mike Weir,85,0.358,23.959,67,2009,sg_around_green
10,10,Rod Pampling,72,0.35,22.404,64,2009,sg_around_green
11,11,Rocco Mediate,79,0.337,22.22,66,2009,sg_around_green
12,12,Kevin Na,91,0.33,25.725,78,2009,sg_around_green
13,13,Geoff Ogilvy,78,0.329,19.086,58,2009,sg_around_green
14,14,Steve Stricker,81,0.327,20.301,62,2009,sg_around_green
15,15,Corey Pavin,73,0.326,17.63,54,2009,sg_around_green
16,16,Chris DiMarco,97,0.311,27.041,87,2009,sg_around_green
17,17,Justin Leonard,95,0.31,23.272,75,2009,sg_around_green
18,18,Matt Kuchar,82,0.289,20.537,71,2009,sg_around_green
19,19,Rory Sabbatini,81,0.284,19.013,67,2009,sg_around_green
20,20,Freddie Jacobson,83,0.282,20.554,73,2009,sg_around_green
21,21,Jarrod Lyle,65,0.274,13.698,50,2009,sg_around_green
22,22,Adam Scott,53,0.27,11.351,42,2009,sg_around_green
23,23,Chez Reavie,81,0.265,18.532,70,2009,sg_around_green
24,24,Brian Gay,96,0.259,21.246,82,2009,sg_around_green
25,25,Dean Wilson,81,0.257,18.009,70,2009,sg_around_green
26,26,Parker McLachlin,71,0.252,16.87,67,2009,sg_around_green
27,27,Luke Donald,79,0.249,15.182,61,2009,sg_around_green
28,28,Jimmy Walker,74,0.244,15.614,64,2009,sg_around_green
29,29,Jerry Kelly,90,0.226,17.434,77,2009,sg_around_green
T30,T30,K.J. Choi,65,0.222,11.111,50,2009,sg_around_green
T30,T30,Tag Ridings,50,0.222,9.094,41,2009,sg_around_green
T32,T32,Stuart Appleby,79,0.216,14.041,65,2009,sg_around_green
T32,T32,Tim Herron,87,0.216,17.527,81,2009,sg_around_green
T32,T32,John Mallinger,90,0.216,15.348,71,2009,sg_around_green
35,35,Michael Letzig,96,0.215,18.51,86,2009,sg_around_green
T36,T36,Aaron Baddeley,66,0.212,12.268,58,2009,sg_around_green
T36,T36,Bob Estes,78,0.212,14.603,69,2009,sg_around_green
38,38,Ernie Els,70,0.196,10.6,54,2009,sg_around_green
T39,T39,Scott Sterling,51,0.194,7.743,40,2009,sg_around_green
T39,T39,Mark Wilson,99,0.194,17.097,88,2009,sg_around_green
41,41,Tom Pernice Jr.,82,0.192,14.396,75,2009,sg_around_green
42,42,Alex Cejka,82,0.188,13.329,71,2009,sg_around_green
43,43,Brad Adamonis,70,0.181,11.043,61,2009,sg_around_green
44,44,Tim Petrovic,97,0.179,15.433,86,2009,sg_around_green
45,45,Ken Duke,87,0.177,12.543,71,2009,sg_around_green
46,46,Kevin Sutherland,96,0.175,12.793,73,2009,sg_around_green
47,47,Lee Janzen,74,0.17,10.384,61,2009,sg_around_green
48,48,Briny Baird,89,0.163,11.724,72,2009,sg_around_green
