RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,year,measure
1,1,Luke Donald,71,0.874,46.346,53,2010,sg_putting
2,2,Paul Casey,64,0.824,36.258,44,2010,sg_putting
3,3,Carl Pettersson,99,0.817,67.836,83,2010,sg_putting
4,4,Dean Wilson,54,0.78,36.666,47,2010,sg_putting
5,6,Greg Chalmers,93,0.778,67.7,87,2010,sg_putting
6,5,Brian Gay,101,0.729,59.751,82,2010,sg_putting
7,7,Retief Goosen,75,0.682,36.128,53,2010,sg_putting
8,8,Matt Kuchar,97,0.633,47.492,75,2010,sg_putting
9,10,Chad Collins,87,0.626,46.945,75,2010,sg_putting
10,11,Zach Johnson,93,0.582,43.681,75,2010,sg_putting
11,9,Charlie Wi,95,0.559,49.745,89,2010,sg_putting
12,12,Ryuji Imada,90,0.551,46.306,84,2010,sg_putting
13,T13,Michael Sim,64,0.517,27.402,53,2010,sg_putting
14,18,Troy Merritt,86,0.516,39.768,77,2010,sg_putting
15,15,Matt Jones,89,0.515,41.231,80,2010,sg_putting
16,16,Scott McCarron,90,0.512,42.499,83,2010,sg_putting
17,T13,Aaron Baddeley,94,0.502,44.202,88,2010,sg_putting
18,17,Kevin Na,94,0.492,37.389,76,2010,sg_putting
19,19,Bryce Molder,84,0.474,34.567,73,2010,sg_putting
20,20,Brandt Snedeker,89,0.463,34.734,75,2010,sg_putting
21,26,Charles Howell III,103,0.454,40.861,90,2010,sg_putting
22,21,Steve Stricker,73,0.435,24.378,56,2010,sg_putting
23,T23,Ryan Palmer,84,0.433,30.735,71,2010,sg_putting
24,22,Brad Faxon,58,0.425,20.41,48,2010,sg_putting
25,T23,Jeff Overton,89,0.408,28.988,71,2010,sg_putting
26,25,Jim Furyk,76,0.405,24.324,60,2010,sg_putting
27,28,Jeff Quinney,91,0.388,31.028,80,2010,sg_putting
28,35,Pat Perez,90,0.379,31.43,83,2010,sg_putting
29,29,Geoff Ogilvy,62,0.371,18.547,50,2010,sg_putting
30,30,Webb Simpson,98,0.369,33.93,92,2010,sg_putting
31,T31,Stephen Ames,75,0.367,25.319,69,2010,sg_putting
32,33,Matt Bettencourt,91,0.366,25.601,70,2010,sg_putting
33,27,Daniel Chopra,74,0.365,24.436,67,2010,sg_putting
34,36,Tom Gillis,97,0.355,31.921,90,2010,sg_putting
T35,45,Michael Connell,89,0.338,26.006,77,2010,sg_putting
T35,37,Nathan Green,86,0.338,27.359,81,2010,sg_putting
37,T31,Skip Kendall,58,0.336,16.457,49,2010,sg_putting
38,38,Steve Elkington,74,0.331,19.528,59,2010,sg_putting
39,39,Ernie Els,72,0.33,18.164,55,2010,sg_putting
40,42,Paul Stankowski,62,0.328,17.409,53,2010,sg_putting
41,34,George McNeill,79,0.324,22.673,70,2010,sg_putting
42,40,James Driscoll,78,0.311,22.989,74,2010,sg_putting
43,41,Chris Couch,66,0.305,17.975,59,2010,sg_putting
44,44,Ryan Moore,80,0.302,18.414,61,2010,sg_putting
45,43,Brian Stuard,81,0.287,20.383,71,2010,sg_putting
T46,T46,Ben Crane,85,0.268,17.712,66,2010,sg_putting
T46,T46,Tim Clark,88,0.268,18.255,68,2010,sg_putting
48,48,Padraig Harrington,57,0.264,11.609,44,2010,sg_putting
T49,49,David Toms,86,0.26,18.174,70,2010,sg_putting
T49,T51,Steve Marino,81,0.26,16.366,63,2010,sg_putting
51,T51,Andres Romero,73,0.254,18.303,72,2010,sg_putting
52,54,Jimmy Walker,82,0.248,17.376,70,2010,sg_putting
T53,T56,Freddie Jacobson,83,0.243,18.684,77,2010,sg_putting
