RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,year,measure
1,1,Kevin Na,98,0.66,46.826,71,2015,sg_around_green
2,2,Jonathan Byrd,69,0.596,30.391,51,2015,sg_around_green
3,3,Webb Simpson,81,0.539,34.496,64,2015,sg_around_green
4,4,Luke Donald,71,0.514,27.782,54,2015,sg_around_green
5,5,Jim Furyk,71,0.513,26.701,52,2015,sg_around_green
6,6,Matt Kuchar,97,0.479,36.864,77,2015,sg_around_green
7,7,Jordan Spieth,91,0.471,31.054,66,2015,sg_around_green
8,8,Steven Alker,62,0.406,20.301,50,2015,sg_around_green
9,9,Mark Wilson,89,0.377,30.507,81,2015,sg_around_green
10,10,Cameron Tringale,96,0.373,29.438,79,2015,sg_around_green
11,11,Aaron Baddeley,76,0.37,24.399,66,2015,sg_around_green
12,12,Brandt Snedeker,98,0.344,25.818,75,2015,sg_around_green
13,13,Morgan Hoffmann,85,0.343,23.658,69,2015,sg_around_green
T14,T14,Ricky Barnes,82,0.336,21.182,63,2015,sg_around_green
T14,T14,Padraig Harrington,60,0.336,16.444,49,2015,sg_around_green
16,16,Matt Jones,89,0.333,22.303,67,2015,sg_around_green
17,17,Chris Stroud,84,0.295,20.046,68,2015,sg_around_green
18,18,Jason Day,75,0.287,16.357,57,2015,sg_around_green
19,19,Jason Dufner,76,0.281,13.474,48,2015,sg_around_green
T20,T20,Brendon Todd,96,0.28,21.286,76,2015,sg_around_green
T20,T20,Tim Wilkinson,73,0.28,16.226,58,2015,sg_around_green
22,22,Patrick Reed,103,0.273,20.717,76,2015,sg_around_green
23,23,Jon Curran,83,0.27,17.554,65,2015,sg_around_green
24,24,J.B. Holmes,89,0.268,17.699,66,2015,sg_around_green
25,25,Keegan Bradley,87,0.263,16.862,64,2015,sg_around_green
26,26,Hideki Matsuyama,95,0.254,17.797,70,2015,sg_around_green
27,27,Steven Bowditch,103,0.253,22.27,88,2015,sg_around_green
T28,T28,William McGirt,103,0.248,24.102,97,2015,sg_around_green
T28,T28,David Toms,62,0.248,13.645,55,2015,sg_around_green
30,30,Vijay Singh,78,0.241,16.607,69,2015,sg_around_green
31,31,Zach Johnson,90,0.236,16.512,70,2015,sg_around_green
T32,T32,Justin Rose,69,0.228,11.195,49,2015,sg_around_green
T32,T32,Robert Streb,110,0.228,21.918,96,2015,sg_around_green
34,34,Phil Mickelson,70,0.225,12.387,55,2015,sg_around_green
35,35,K.J. Choi,66,0.21,11.949,57,2015,sg_around_green
36,36,Jonas Blixt,78,0.209,10.862,52,2015,sg_around_green
37,37,Chad Collins,79,0.205,12.921,63,2015,sg_around_green
38,38,D.A. Points,72,0.199,11.568,58,2015,sg_around_green
39,39,Chris Kirk,76,0.198,11.097,56,2015,sg_around_green
T40,T40,Seung-Yul Noh,65,0.188,10.159,54,2015,sg_around_green
T40,T40,Justin Thomas,106,0.188,18.081,96,2015,sg_around_green
42,42,Roberto Castro,54,0.187,6.717,36,2015,sg_around_green
43,43,Gonzalo Fernandez-Castaño,81,0.183,11.532,63,2015,sg_around_green
44,44,Tyrone Van Aswegen,58,0.181,7.601,42,2015,sg_around_green
45,45,Scott Langley,94,0.18,14.219,79,2015,sg_around_green
46,46,Derek Fathauer,81,0.179,11.822,66,2015,sg_around_green
T47,T47,Jerry Kelly,79,0.166,10.938,66,2015,sg_around_green
T47,T47,Justin Leonard,61,0.166,8.978,54,2015,sg_around_green
49,49,Chad Campbell,97,0.159,14.485,91,2015,sg_around_green
50,50,Sergio Garcia,59,0.157,5.669,36,2015,sg_around_green
51,51,Bryce Molder,91,0.156,11.99,77,2015,sg_around_green
52,52,Kevin Chappell,86,0.148,11.095,75,2015,sg_around_green
T53,T53,Luke Guthrie,84,0.147,9.975,68,2015,sg_around_green
T53,T53,Ian Poulter,68,0.147,7.078,48,2015,sg_around_green
55,55,Camilo Villegas,83,0.143,10.61,74,2015,sg_around_green
56,56,Sean O'Hair,86,0.142,11.513,81,2015,sg_around_green
57,57,Alex Cejka,94,0.135,10.649,79,2015,sg_around_green
58,58,Zac Blair,108,0.131,11.51,88,2015,sg_around_green
59,59,Greg Owen,58,0.129,5.166,40,2015,sg_around_green
60,60,Mark Hubbard,79,0.128,7.836,61,2015,sg_around_green
61,61,J.J. Henry,94,0.127,9.67,76,2015,sg_around_green
62,62,Bill Haas,89,0.126,8.978,71,2015,sg_around_green
63,63,Davis Love III,51,0.116,4.854,42,2015,sg_around_green
64,64,Andrew Putnam,68,0.113,6.089,54,2015,sg_around_green
65,65,Nick Watney,91,0.112,9.102,81,2015,sg_around_green
66,66,Russell Knox,96,0.107,9.339,87,2015,sg_around_green
T67,T67,Ernie Els,57,0.102,3.992,39,2015,sg_around_green
T67,T67,Marc Leishman,74,0.102,5.51,54,2015,sg_around_green
T67,T67,Ryan Moore,81,0.102,6.195,61,2015,sg_around_green
70,70,Billy Hurley III,83,0.098,6.16,63,2015,sg_around_green
71,71,Rory Sabbatini,81,0.097,6.433,66,2015,sg_around_green
72,72,Charl Schwartzel,67,0.092,3.762,41,2015,sg_around_green
73,73,Louis Oosthuizen,68,0.088,4.126,47,2015,sg_around_green
T74,T74,Brice Garnett,81,0.082,5.244,64,2015,sg_around_green
T74,T74,Henrik Stenson,63,0.082,3.604,44,2015,sg_around_green
76,76,Kyle Reifers,96,0.076,6.112,80,2015,sg_around_green
77,77,Jimmy Walker,89,0.068,4.357,64,2015,sg_around_green
78,78,Rickie Fowler,76,0.066,3.751,57,2015,sg_around_green
79,79,James Hahn,94,0.065,5.103,78,2015,sg_around_green
80,80,Charles Howell III,105,0.059,5.857,99,2015,sg_around_green
81,81,Willy Wilcox,58,0.058,2.36,41,2015,sg_around_green
82,82,Sung Joon Park,79,0.055,3.452,63,2015,sg_around_green
83,83,Brooks Koepka,84,0.052,3.405,65,2015,sg_around_green
T84,T84,Erik Compton,86,0.047,3.281,70,2015,sg_around_green
T84,T84,Martin Flores,95,0.047,3.713,79,2015,sg_around_green
86,86,Jamie Donaldson,50,0.046,1.469,32,2015,sg_around_green
87,87,Pat Perez,96,0.045,3.721,83,2015,sg_around_green
88,88,Adam Hadwin,95,0.044,3.53,81,2015,sg_around_green
T89,T89,Brendan Steele,88,0.041,3.097,76,2015,sg_around_green
T89,T89,Michael Thompson,83,0.041,3.064,75,2015,sg_around_green
91,91,Geoff Ogilvy,50,0.039,1.376,35,2015,sg_around_green
92,92,Cameron Percy,72,0.037,2.118,58,2015,sg_around_green
T93,T93,Ben Crane,62,0.03,1.57,52,2015,sg_around_green
T93,T93,Brian Harman,90,0.03,2.366,78,2015,sg_around_green
95,95,Brian Davis,86,0.029,2.081,71,2015,sg_around_green
96,96,Tony Finau,106,0.027,2.526,92,2015,sg_around_green
97,97,Ryo Ishikawa,90,0.025,1.869,75,2015,sg_around_green
98,98,Andres Gonzales,90,0.022,1.635,76,2015,sg_around_green
99,99,Heath Slocum,57,0.018,0.71,39,2015,sg_around_green
100,100,Boo Weekley,79,0.015,1.004,67,2015,sg_around_green
101,101,John Merrick,78,0.006,0.331,58,2015,sg_around_green
102,102,Hunter Mahan,88,0.003,0.163,65,2015,sg_around_green
103,103,Harris English,105,0,0.03,88,2015,sg_around_green
104,104,Bubba Watson,71,-0.002,-0.125,56,2015,sg_around_green
105,105,John Senden,80,-0.017,-0.859,51,2015,sg_around_green
106,106,Jeff Overton,94,-0.018,-1.37,75,2015,sg_around_green
107,107,Martin Laird,77,-0.019,-1.354,73,2015,sg_around_green
108,108,Michael Putnam,87,-0.022,-1.474,68,2015,sg_around_green
109,109,David Lingmerth,90,-0.025,-1.859,74,2015,sg_around_green
110,110,Greg Chalmers,58,-0.028,-1.001,36,2015,sg_around_green
111,111,David Hearn,97,-0.029,-2.474,85,2015,sg_around_green
112,112,John Huh,102,-0.03,-2.657,89,2015,sg_around_green
113,113,Francesco Molinari,56,-0.037,-1.61,43,2015,sg_around_green
114,114,Jim Renner,68,-0.038,-2.129,56,2015,sg_around_green
115,115,Retief Goosen,81,-0.039,-2.32,60,2015,sg_around_green
T116,T116,Jason Bohn,95,-0.042,-3.618,87,2015,sg_around_green
T116,T116,Byron Smith,59,-0.042,-1.8,43,2015,sg_around_green
118,118,Whee Kim,71,-0.043,-2.411,56,2015,sg_around_green
119,119,Matt Every,73,-0.044,-2.458,56,2015,sg_around_green
T120,T120,Scott Stallings,60,-0.052,-2.534,49,2015,sg_around_green
T120,T120,Brian Stuard,97,-0.052,-4.108,79,2015,sg_around_green
122,122,Troy Merritt,91,-0.054,-4.405,82,2015,sg_around_green
123,123,Graham DeLaet,65,-0.056,-3.034,54,2015,sg_around_green
124,124,Danny Lee,120,-0.062,-6.249,100,2015,sg_around_green
125,125,Kevin Kisner,104,-0.068,-6.349,94,2015,sg_around_green
126,126,George McNeill,93,-0.071,-6.362,89,2015,sg_around_green
127,127,Ryan Palmer,80,-0.072,-3.889,54,2015,sg_around_green
128,128,Andres Romero,69,-0.073,-3.963,54,2015,sg_around_green
129,129,Tom Hoge,83,-0.08,-5.229,65,2015,sg_around_green
130,130,Steve Wheatcroft,87,-0.082,-5.894,72,2015,sg_around_green
131,131,Colt Knost,90,-0.085,-6.273,74,2015,sg_around_green
132,132,Patrick Rodgers,57,-0.09,-4.162,46,2015,sg_around_green
133,133,Carl Pettersson,106,-0.097,-9.286,96,2015,sg_around_green
