RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
1,1,Bubba Watson,68,315.5,"41,652",132,2012,avg_driv_dist
2,2,Charlie Beljan,61,311.6,"33,027",106,2012,avg_driv_dist
3,3,Robert Garrigus,89,310.3,"55,241",178,2012,avg_driv_dist
4,4,Dustin Johnson,70,310.2,"40,948",132,2012,avg_driv_dist
5,5,Rory McIlroy,60,310.1,"32,868",106,2012,avg_driv_dist
6,6,J.B. Holmes,90,309.7,"50,785",164,2012,avg_driv_dist
7,7,Jason Day,57,308.6,"33,333",108,2012,avg_driv_dist
8,8,Kyle Stanley,86,306.9,"51,249",167,2012,avg_driv_dist
9,9,John Daly,50,306.7,"28,216",92,2012,avg_driv_dist
T10,T10,Adam Scott,59,304.6,"35,335",116,2012,avg_driv_dist
T10,T10,Jhonattan Vegas,77,304.6,"45,697",150,2012,avg_driv_dist
12,12,Scott Piercy,95,304.5,"57,860",190,2012,avg_driv_dist
13,13,Graham DeLaet,79,304.3,"45,649",150,2012,avg_driv_dist
14,14,Jason Kokrak,79,304.1,"45,616",150,2012,avg_driv_dist
15,15,Ryan Palmer,81,303.1,"48,797",161,2012,avg_driv_dist
16,16,Keegan Bradley,90,302.7,"52,663",174,2012,avg_driv_dist
17,17,Scott Stallings,78,302.4,"46,871",155,2012,avg_driv_dist
18,18,Gary Woodland,70,301.6,"40,413",134,2012,avg_driv_dist
19,19,Seung-Yul Noh,105,300.4,"58,274",194,2012,avg_driv_dist
20,20,Harris English,98,300.3,"58,851",196,2012,avg_driv_dist
21,21,Bobby Gates,87,300.2,"49,837",166,2012,avg_driv_dist
22,22,Ángel Cabrera,54,299.7,"29,375",98,2012,avg_driv_dist
T23,T23,Troy Kelly,68,299.5,"37,140",124,2012,avg_driv_dist
T23,T23,Louis Oosthuizen,65,299.5,"37,141",124,2012,avg_driv_dist
25,25,Brandt Jobe,57,299.2,"31,714",106,2012,avg_driv_dist
26,26,Troy Matteson,100,298.9,"56,196",188,2012,avg_driv_dist
27,27,Josh Teater,97,298.6,"55,543",186,2012,avg_driv_dist
28,28,Martin Laird,77,298.2,"42,945",144,2012,avg_driv_dist
29,29,Lee Westwood,60,298.1,"31,596",106,2012,avg_driv_dist
30,30,Harrison Frazar,56,297.7,"32,147",108,2012,avg_driv_dist
31,31,Sean O'Hair,84,297.5,"49,980",168,2012,avg_driv_dist
32,32,Tiger Woods,69,297.4,"39,856",134,2012,avg_driv_dist
T33,T33,Erik Compton,81,297.2,"43,385",146,2012,avg_driv_dist
T33,T33,Tommy Gainey,98,297.2,"57,955",195,2012,avg_driv_dist
35,35,Carl Pettersson,92,297.1,"54,366",183,2012,avg_driv_dist
T36,T36,Nick Watney,97,296.8,"55,800",188,2012,avg_driv_dist
T36,T36,Boo Weekley,74,296.8,"39,173",132,2012,avg_driv_dist
38,38,Jimmy Walker,101,296.5,"59,902",202,2012,avg_driv_dist
39,39,Davis Love III,64,296.3,"37,929",128,2012,avg_driv_dist
40,40,Bo Van Pelt,84,296.1,"49,152",166,2012,avg_driv_dist
41,41,Greg Owen,90,295.9,"53,268",180,2012,avg_driv_dist
42,42,Charl Schwartzel,56,295.8,"31,652",107,2012,avg_driv_dist
43,43,Mark Anderson,75,295.7,"40,806",138,2012,avg_driv_dist
T44,T44,Daniel Chopra,55,295.6,"30,151",102,2012,avg_driv_dist
T44,T44,Edward Loar,59,295.6,"31,329",106,2012,avg_driv_dist
46,46,Charley Hoffman,88,295.5,"51,712",175,2012,avg_driv_dist
T47,T47,John Rollins,81,295.4,"45,487",154,2012,avg_driv_dist
T47,T47,Vijay Singh,99,295.4,"58,486",198,2012,avg_driv_dist
