RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,year,measure
1,1,Ben Crane,78,0.939,61.044,65,2005,sg_putting
2,2,Brad Faxon,75,0.799,46.343,58,2005,sg_putting
3,3,Len Mattiace,86,0.787,59.826,76,2005,sg_putting
4,4,Bob Tway,87,0.736,48.582,66,2005,sg_putting
5,5,Tiger Woods,76,0.659,36.252,55,2005,sg_putting
6,6,Arjun Atwal,65,0.657,40.064,61,2005,sg_putting
7,7,José María Olazábal,55,0.653,26.764,41,2005,sg_putting
8,8,Steve Stricker,62,0.643,37.922,59,2005,sg_putting
9,9,Brian Gay,101,0.584,54.334,93,2005,sg_putting
T10,T10,Aaron Baddeley,84,0.575,43.735,76,2005,sg_putting
T10,T10,Richard Johnson,50,0.575,26.428,46,2005,sg_putting
12,12,Stewart Cink,98,0.545,38.674,71,2005,sg_putting
13,13,Loren Roberts,54,0.54,25.928,48,2005,sg_putting
14,14,Mark O'Meara,66,0.47,24.444,52,2005,sg_putting
T15,T15,Tim Herron,100,0.45,35.127,78,2005,sg_putting
T15,T15,Brenden Pappas,51,0.45,22.064,49,2005,sg_putting
17,17,Brent Geiberger,61,0.449,23.369,52,2005,sg_putting
18,18,Dean Wilson,86,0.442,35.338,80,2005,sg_putting
19,19,Phillip Price,77,0.439,28.111,64,2005,sg_putting
20,20,Stephen Ames,82,0.426,26.001,61,2005,sg_putting
21,21,Dudley Hart,84,0.406,29.603,73,2005,sg_putting
22,22,Kirk Triplett,55,0.397,17.469,44,2005,sg_putting
23,23,Jesper Parnevik,84,0.386,26.252,68,2005,sg_putting
24,24,Matt Gogel,78,0.384,26.085,68,2005,sg_putting
25,25,Corey Pavin,77,0.38,23.156,61,2005,sg_putting
26,26,Matt Kuchar,60,0.367,20.572,56,2005,sg_putting
27,27,Luke Donald,67,0.362,14.491,40,2005,sg_putting
28,28,Tag Ridings,93,0.36,30.27,84,2005,sg_putting
29,29,Charlie Wi,67,0.359,21.888,61,2005,sg_putting
30,30,Olin Browne,99,0.354,29.777,84,2005,sg_putting
31,31,Patrick Sheehan,114,0.348,33.771,97,2005,sg_putting
32,32,Jim Furyk,94,0.347,24.957,72,2005,sg_putting
33,33,Freddie Jacobson,72,0.344,19.277,56,2005,sg_putting
34,34,Zach Johnson,96,0.33,27.422,83,2005,sg_putting
T35,T35,Kent Jones,99,0.329,28.921,88,2005,sg_putting
T35,T35,Brett Quigley,96,0.329,28.006,85,2005,sg_putting
T37,T37,Bob Heintz,67,0.328,20.314,62,2005,sg_putting
T37,T37,Larry Mize,54,0.328,15.097,46,2005,sg_putting
39,39,Gavin Coles,70,0.317,20.307,64,2005,sg_putting
40,40,Tom Pernice Jr.,111,0.308,27.414,89,2005,sg_putting
41,41,David Toms,87,0.305,19.493,64,2005,sg_putting
T42,T42,Billy Andrade,83,0.298,22.017,74,2005,sg_putting
T42,T42,Bart Bryant,91,0.298,22.91,77,2005,sg_putting
44,44,Charles Howell III,95,0.283,20.398,72,2005,sg_putting
45,45,Rory Sabbatini,81,0.27,16.2,60,2005,sg_putting
46,46,Phil Mickelson,81,0.264,13.183,50,2005,sg_putting
47,47,Shigeki Maruyama,99,0.261,22.218,85,2005,sg_putting
48,48,Tjaart van der Walt,56,0.256,13.81,54,2005,sg_putting
T49,T49,Steve Elkington,67,0.251,13.799,55,2005,sg_putting
T49,T49,Kevin Sutherland,89,0.251,18.556,74,2005,sg_putting
51,51,Scott McCarron,78,0.247,15.089,61,2005,sg_putting
52,52,J.P. Hayes,63,0.229,12.16,53,2005,sg_putting
53,53,Chris DiMarco,83,0.225,13.245,59,2005,sg_putting
54,54,Dan Forsman,52,0.205,9.625,47,2005,sg_putting
55,55,Bo Van Pelt,112,0.196,18.258,93,2005,sg_putting
T56,T56,Todd Fischer,99,0.195,17.145,88,2005,sg_putting
T56,T56,Davis Love III,80,0.195,11.137,57,2005,sg_putting
58,58,James Driscoll,73,0.193,12.147,63,2005,sg_putting
59,59,Padraig Harrington,50,0.187,7.662,41,2005,sg_putting
60,60,K.J. Choi,78,0.183,9.863,54,2005,sg_putting
61,61,J.L. Lewis,98,0.179,14.712,82,2005,sg_putting
62,62,Daniel Chopra,108,0.176,16.336,93,2005,sg_putting
63,63,Joe Ogilvie,103,0.174,13.769,79,2005,sg_putting
64,64,Jason Allred,75,0.17,10.883,64,2005,sg_putting
65,65,Bob Estes,92,0.169,13.483,80,2005,sg_putting
66,66,Darron Stiles,78,0.167,11.667,70,2005,sg_putting
67,67,Chad Campbell,95,0.165,12.538,76,2005,sg_putting
