RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,year,measure
1,1,Henrik Stenson,63,1.244,54.732,44,2015,sg_app_green
2,2,Jim Furyk,71,1.081,56.199,52,2015,sg_app_green
3,3,Paul Casey,87,0.991,62.461,63,2015,sg_app_green
4,4,Danny Lee,120,0.718,71.791,100,2015,sg_app_green
5,5,Justin Rose,69,0.692,33.923,49,2015,sg_app_green
6,6,Lucas Glover,79,0.691,49.722,72,2015,sg_app_green
7,7,Bubba Watson,71,0.684,38.329,56,2015,sg_app_green
8,8,George McNeill,93,0.645,57.401,89,2015,sg_app_green
9,9,Hideki Matsuyama,95,0.637,44.617,70,2015,sg_app_green
10,10,Russell Knox,96,0.622,54.145,87,2015,sg_app_green
11,11,Jordan Spieth,91,0.618,40.776,66,2015,sg_app_green
12,12,Zach Johnson,90,0.605,42.346,70,2015,sg_app_green
13,13,Brendan Steele,88,0.6,45.627,76,2015,sg_app_green
14,14,Rickie Fowler,76,0.59,33.657,57,2015,sg_app_green
15,15,Webb Simpson,81,0.582,37.224,64,2015,sg_app_green
16,16,Dustin Johnson,75,0.579,31.252,54,2015,sg_app_green
17,17,Luke Donald,71,0.573,30.959,54,2015,sg_app_green
18,18,Francesco Molinari,56,0.572,24.605,43,2015,sg_app_green
T19,T19,Jason Bohn,95,0.561,48.838,87,2015,sg_app_green
T19,T19,Stewart Cink,77,0.561,37.026,66,2015,sg_app_green
21,21,Ryan Palmer,80,0.529,28.555,54,2015,sg_app_green
22,22,Daniel Berger,97,0.526,43.686,83,2015,sg_app_green
23,23,Tyrone Van Aswegen,58,0.471,19.795,42,2015,sg_app_green
24,24,Sergio Garcia,59,0.468,16.837,36,2015,sg_app_green
25,25,Jason Day,75,0.461,26.26,57,2015,sg_app_green
26,26,Tom Hoge,83,0.456,29.61,65,2015,sg_app_green
27,27,Ryo Ishikawa,90,0.436,32.67,75,2015,sg_app_green
28,28,Bill Haas,89,0.422,29.975,71,2015,sg_app_green
T29,T29,Michael Putnam,87,0.42,28.559,68,2015,sg_app_green
T29,T29,Vijay Singh,78,0.42,28.96,69,2015,sg_app_green
31,31,Greg Owen,58,0.407,16.27,40,2015,sg_app_green
32,32,Jason Dufner,76,0.399,19.149,48,2015,sg_app_green
33,33,Louis Oosthuizen,68,0.397,18.679,47,2015,sg_app_green
34,34,Keegan Bradley,87,0.389,24.878,64,2015,sg_app_green
35,35,Justin Thomas,106,0.385,36.987,96,2015,sg_app_green
36,36,Kevin Na,98,0.381,27.045,71,2015,sg_app_green
37,37,Rory Sabbatini,81,0.375,24.746,66,2015,sg_app_green
38,38,John Merrick,78,0.358,20.76,58,2015,sg_app_green
39,39,Roberto Castro,54,0.347,12.499,36,2015,sg_app_green
40,40,Ángel Cabrera,53,0.336,14.118,42,2015,sg_app_green
41,41,Jimmy Walker,89,0.334,21.386,64,2015,sg_app_green
42,42,Graham DeLaet,65,0.328,17.714,54,2015,sg_app_green
43,43,Whee Kim,71,0.324,18.153,56,2015,sg_app_green
T44,T44,Chris Kirk,76,0.302,16.891,56,2015,sg_app_green
T44,T44,Martin Laird,77,0.302,22.049,73,2015,sg_app_green
46,46,Chez Reavie,56,0.298,14.893,50,2015,sg_app_green
47,47,Lee Westwood,56,0.292,9.331,32,2015,sg_app_green
48,48,Jim Herman,88,0.285,21.972,77,2015,sg_app_green
49,49,Shawn Stefani,94,0.283,24.931,88,2015,sg_app_green
50,50,John Peterson,84,0.276,21.285,77,2015,sg_app_green
51,51,Ben Martin,93,0.268,20.673,77,2015,sg_app_green
