RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,year,measure
1,1,Ernie Els,69,0.619,29.079,47,2006,sg_around_green
2,2,Stuart Appleby,83,0.591,37.814,64,2006,sg_around_green
3,3,José María Olazábal,62,0.51,19.881,39,2006,sg_around_green
4,4,Luke Donald,66,0.509,21.878,43,2006,sg_around_green
5,5,Steve Stricker,64,0.472,24.522,52,2006,sg_around_green
6,6,Justin Leonard,83,0.441,28.656,65,2006,sg_around_green
7,7,Corey Pavin,74,0.439,25.049,57,2006,sg_around_green
8,8,Rod Pampling,89,0.435,28.299,65,2006,sg_around_green
9,9,Vijay Singh,103,0.414,34.743,84,2006,sg_around_green
10,10,Craig Barlow,77,0.376,21.798,58,2006,sg_around_green
11,11,Omar Uresti,61,0.368,18.787,51,2006,sg_around_green
12,12,Dudley Hart,83,0.365,25.896,71,2006,sg_around_green
13,13,Chris Riley,86,0.362,24.987,69,2006,sg_around_green
14,14,Mark O'Meara,52,0.358,12.887,36,2006,sg_around_green
15,15,Trevor Immelman,86,0.337,24.593,73,2006,sg_around_green
16,16,Ryuji Imada,105,0.315,27.446,87,2006,sg_around_green
17,17,Rory Sabbatini,84,0.313,20.023,64,2006,sg_around_green
18,18,Carl Pettersson,95,0.309,23.175,75,2006,sg_around_green
19,19,Paul Azinger,87,0.302,24.156,80,2006,sg_around_green
T20,T20,Tom Pernice Jr.,108,0.293,25.508,87,2006,sg_around_green
T20,T20,Jason Schultz,77,0.293,19.043,65,2006,sg_around_green
22,22,Jason Bohn,104,0.285,25.398,89,2006,sg_around_green
23,23,Jerry Smith,94,0.276,23.217,84,2006,sg_around_green
24,24,Ben Crane,85,0.272,16.572,61,2006,sg_around_green
25,25,Pat Perez,50,0.27,11.355,42,2006,sg_around_green
26,26,Jerry Kelly,100,0.268,22.544,84,2006,sg_around_green
27,27,Kevin Sutherland,100,0.263,22.914,87,2006,sg_around_green
T28,T28,Billy Andrade,78,0.255,15.293,60,2006,sg_around_green
T28,T28,Kirk Triplett,58,0.255,12.493,49,2006,sg_around_green
30,30,Shigeki Maruyama,94,0.249,19.942,80,2006,sg_around_green
T31,T31,Marco Dawson,87,0.245,18.887,77,2006,sg_around_green
T31,T31,Jim Furyk,89,0.245,16.644,68,2006,sg_around_green
T31,T31,Mark Wilson,79,0.245,17.645,72,2006,sg_around_green
34,34,Arron Oberholser,82,0.243,15.08,62,2006,sg_around_green
35,35,Steve Flesch,119,0.236,24.26,103,2006,sg_around_green
36,36,Mike Weir,88,0.235,14.812,63,2006,sg_around_green
