RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,year,measure
1,1,Bubba Watson,77,0.798,53.473,67,2010,sg_off_tee
2,2,Dustin Johnson,83,0.76,47.868,63,2010,sg_off_tee
3,3,Robert Garrigus,71,0.73,44.541,61,2010,sg_off_tee
4,4,J.B. Holmes,100,0.729,64.135,88,2010,sg_off_tee
5,5,Bo Van Pelt,104,0.724,62.966,87,2010,sg_off_tee
6,6,Rory McIlroy,54,0.698,27.933,40,2010,sg_off_tee
7,7,D.J. Trahan,92,0.692,56.728,82,2010,sg_off_tee
8,8,Graham DeLaet,88,0.678,51.538,76,2010,sg_off_tee
9,9,Boo Weekley,88,0.662,48.978,74,2010,sg_off_tee
10,10,Hunter Mahan,85,0.642,42.996,67,2010,sg_off_tee
11,11,Charley Hoffman,85,0.638,49.136,77,2010,sg_off_tee
12,12,Kenny Perry,69,0.605,33.856,56,2010,sg_off_tee
13,13,Ángel Cabrera,64,0.598,30.481,51,2010,sg_off_tee
14,14,Joe Durant,67,0.597,34.042,57,2010,sg_off_tee
15,15,Nick Watney,91,0.593,40.889,69,2010,sg_off_tee
16,16,Charles Warren,64,0.581,31.969,55,2010,sg_off_tee
17,17,John Rollins,81,0.56,41.985,75,2010,sg_off_tee
18,18,Troy Matteson,84,0.515,40.162,78,2010,sg_off_tee
19,19,Kevin Streelman,90,0.478,38.201,80,2010,sg_off_tee
20,20,Adam Scott,70,0.472,24.523,52,2010,sg_off_tee
21,21,Bill Haas,87,0.464,34.816,75,2010,sg_off_tee
22,22,Ryan Moore,80,0.45,27.424,61,2010,sg_off_tee
23,23,Chris Couch,66,0.444,26.189,59,2010,sg_off_tee
24,24,Jason Dufner,87,0.435,30.029,69,2010,sg_off_tee
T25,T25,Stewart Cink,84,0.431,27.987,65,2010,sg_off_tee
T25,T25,Sean O'Hair,84,0.431,28.007,65,2010,sg_off_tee
27,27,Josh Teater,101,0.428,39.389,92,2010,sg_off_tee
28,28,Brett Wetterich,54,0.415,22.019,53,2010,sg_off_tee
29,29,Rickie Fowler,98,0.408,33.903,83,2010,sg_off_tee
30,30,Robert Allenby,76,0.403,24.582,61,2010,sg_off_tee
31,31,Alex Prugh,88,0.39,31.202,80,2010,sg_off_tee
32,32,J.J. Henry,92,0.383,30.244,79,2010,sg_off_tee
33,33,John Senden,103,0.372,32.379,87,2010,sg_off_tee
34,34,Vijay Singh,75,0.369,21.05,57,2010,sg_off_tee
35,35,Steve Elkington,74,0.368,21.735,59,2010,sg_off_tee
36,36,Will MacKenzie,72,0.363,24.716,68,2010,sg_off_tee
37,37,Martin Laird,91,0.354,27.959,79,2010,sg_off_tee
38,38,Tom Gillis,97,0.348,31.353,90,2010,sg_off_tee
39,39,Justin Rose,78,0.338,23.634,70,2010,sg_off_tee
40,40,Retief Goosen,75,0.337,17.872,53,2010,sg_off_tee
41,41,John Daly,63,0.336,15.807,47,2010,sg_off_tee
42,42,Y.E. Yang,72,0.316,18.323,58,2010,sg_off_tee
43,43,Rory Sabbatini,79,0.3,20.109,67,2010,sg_off_tee
44,44,Davis Love III,79,0.297,19.589,66,2010,sg_off_tee
45,45,Blake Adams,84,0.292,21.891,75,2010,sg_off_tee
T46,T46,Lucas Glover,75,0.285,16.811,59,2010,sg_off_tee
T46,T46,Chris Tidland,77,0.285,19.348,68,2010,sg_off_tee
48,48,Sergio Garcia,58,0.272,9.775,36,2010,sg_off_tee
49,49,Steve Marino,81,0.27,17.033,63,2010,sg_off_tee
50,50,Jarrod Lyle,54,0.266,12.235,46,2010,sg_off_tee
51,51,Mathew Goggin,85,0.264,20.056,76,2010,sg_off_tee
52,52,Nicholas Thompson,88,0.261,20.125,77,2010,sg_off_tee
T53,T53,Jason Day,82,0.254,18.02,71,2010,sg_off_tee
T53,T53,David Toms,86,0.254,17.773,70,2010,sg_off_tee
55,55,Kevin Stadler,86,0.237,17.031,72,2010,sg_off_tee
56,56,Jeff Overton,89,0.232,16.453,71,2010,sg_off_tee
57,57,Mathias Grönberg,61,0.222,11.086,50,2010,sg_off_tee
58,58,John Merrick,109,0.217,19.983,92,2010,sg_off_tee
T59,T59,Paul Casey,64,0.215,9.476,44,2010,sg_off_tee
T59,T59,Ernie Els,72,0.215,11.81,55,2010,sg_off_tee
61,61,Camilo Villegas,78,0.21,11.76,56,2010,sg_off_tee
T62,T62,Kris Blanks,91,0.201,14.851,74,2010,sg_off_tee
T62,T62,Kevin Sutherland,86,0.201,15.654,78,2010,sg_off_tee
64,64,Greg Owen,69,0.2,12.401,62,2010,sg_off_tee
65,65,Steve Stricker,73,0.191,10.669,56,2010,sg_off_tee
66,66,Phil Mickelson,76,0.185,10.556,57,2010,sg_off_tee
67,67,Ryan Palmer,84,0.175,12.431,71,2010,sg_off_tee
68,68,Ben Crane,85,0.169,11.123,66,2010,sg_off_tee
69,69,Andres Romero,73,0.167,12.005,72,2010,sg_off_tee
70,70,Matt Every,60,0.166,8.489,51,2010,sg_off_tee
71,71,Chris Riley,73,0.164,10.314,63,2010,sg_off_tee
72,72,Brendon de Jonge,114,0.16,14.574,91,2010,sg_off_tee
73,73,Matt Kuchar,97,0.158,11.851,75,2010,sg_off_tee
74,74,Heath Slocum,97,0.156,11.414,73,2010,sg_off_tee
75,75,K.J. Choi,82,0.151,9.185,61,2010,sg_off_tee
76,76,Jim Furyk,76,0.15,9.018,60,2010,sg_off_tee
77,77,Cameron Tringale,55,0.131,5.874,45,2010,sg_off_tee
78,78,Jay Williamson,76,0.125,7.623,61,2010,sg_off_tee
79,79,Garth Mulroy,53,0.124,5.211,42,2010,sg_off_tee
80,80,Jeff Maggert,76,0.123,7.775,63,2010,sg_off_tee
81,81,Steve Lowery,67,0.122,6.851,56,2010,sg_off_tee
82,82,Zach Johnson,93,0.118,8.837,75,2010,sg_off_tee
83,83,Michael Letzig,84,0.115,9.195,80,2010,sg_off_tee
84,84,Aaron Baddeley,94,0.112,9.844,88,2010,sg_off_tee
85,85,Chad Campbell,94,0.102,8.246,81,2010,sg_off_tee
86,86,Scott McCarron,90,0.093,7.72,83,2010,sg_off_tee
87,87,Jonathan Byrd,85,0.091,7.461,82,2010,sg_off_tee
88,88,Matt Bettencourt,91,0.089,6.23,70,2010,sg_off_tee
89,89,Roger Tambellini,77,0.085,5.263,62,2010,sg_off_tee
90,90,Jason Bohn,84,0.082,6.099,74,2010,sg_off_tee
91,91,Jeff Gove,57,0.081,3.573,44,2010,sg_off_tee
92,92,Andrew McLardy,52,0.079,3.455,44,2010,sg_off_tee
T93,T93,Marc Leishman,87,0.074,5.33,72,2010,sg_off_tee
T93,T93,Vaughn Taylor,87,0.074,5.838,79,2010,sg_off_tee
95,95,Rod Pampling,77,0.068,4.763,70,2010,sg_off_tee
96,96,Spencer Levin,110,0.054,5.312,98,2010,sg_off_tee
97,97,Billy Mayfair,78,0.053,3.415,65,2010,sg_off_tee
98,98,Jerry Kelly,99,0.051,4.148,82,2010,sg_off_tee
99,99,D.A. Points,90,0.045,3.543,79,2010,sg_off_tee
100,100,J.P. Hayes,79,0.039,2.638,68,2010,sg_off_tee
101,101,Tim Petrovic,105,0.029,2.764,94,2010,sg_off_tee
102,102,Paul Stankowski,62,0.016,0.84,53,2010,sg_off_tee
103,103,Stephen Ames,75,0.011,0.791,69,2010,sg_off_tee
104,104,Chris Stroud,90,0.01,0.747,72,2010,sg_off_tee
105,105,Steve Wheatcroft,74,0.002,0.108,58,2010,sg_off_tee
106,106,Omar Uresti,74,-0.001,-0.039,61,2010,sg_off_tee
T107,T107,Joe Ogilvie,99,-0.005,-0.468,86,2010,sg_off_tee
T107,T107,Pat Perez,90,-0.005,-0.424,83,2010,sg_off_tee
109,109,Brian Davis,101,-0.007,-0.586,89,2010,sg_off_tee
110,110,Woody Austin,93,-0.01,-0.866,83,2010,sg_off_tee
111,111,Scott Piercy,88,-0.013,-1.084,81,2010,sg_off_tee
112,112,James Driscoll,78,-0.014,-1.005,74,2010,sg_off_tee
113,113,Henrik Bjornstad,72,-0.022,-1.312,59,2010,sg_off_tee
114,114,Tim Clark,88,-0.025,-1.672,68,2010,sg_off_tee
115,115,Charles Howell III,103,-0.041,-3.698,90,2010,sg_off_tee
116,116,Roland Thatcher,72,-0.061,-4.121,68,2010,sg_off_tee
117,117,Freddie Jacobson,83,-0.064,-4.955,77,2010,sg_off_tee
118,118,Rocco Mediate,71,-0.082,-4.989,61,2010,sg_off_tee
119,119,Jeev Milkha Singh,59,-0.092,-4.76,52,2010,sg_off_tee
120,120,Aron Price,70,-0.1,-6.22,62,2010,sg_off_tee
121,121,Padraig Harrington,57,-0.104,-4.593,44,2010,sg_off_tee
122,122,Ian Poulter,55,-0.109,-3.693,34,2010,sg_off_tee
123,123,Chris Wilson,65,-0.112,-5.825,52,2010,sg_off_tee
124,124,Scott Verplank,74,-0.12,-6.711,56,2010,sg_off_tee
125,125,Matt Jones,89,-0.122,-9.786,80,2010,sg_off_tee
126,126,Ted Purdy,86,-0.124,-9.3,75,2010,sg_off_tee
127,127,Cameron Percy,73,-0.128,-7.531,59,2010,sg_off_tee
128,128,John Mallinger,78,-0.131,-8.485,65,2010,sg_off_tee
129,129,Shaun Micheel,70,-0.136,-7.191,53,2010,sg_off_tee
130,130,Alex Cejka,81,-0.146,-9.935,68,2010,sg_off_tee
131,131,Garrett Willis,82,-0.155,-10.985,71,2010,sg_off_tee
132,132,Ben Curtis,78,-0.159,-10.49,66,2010,sg_off_tee
133,133,Geoff Ogilvy,62,-0.165,-8.24,50,2010,sg_off_tee
T134,T134,Mark Calcavecchia,50,-0.177,-5.853,33,2010,sg_off_tee
T134,T134,Lee Janzen,77,-0.177,-12.383,70,2010,sg_off_tee
T134,T134,Troy Merritt,86,-0.177,-13.616,77,2010,sg_off_tee
137,137,Carl Pettersson,99,-0.18,-14.931,83,2010,sg_off_tee
138,138,Justin Leonard,89,-0.184,-13.258,72,2010,sg_off_tee
139,139,James Nitties,92,-0.188,-15.205,81,2010,sg_off_tee
140,140,Cliff Kresge,50,-0.191,-8.582,45,2010,sg_off_tee
141,141,Mark Wilson,87,-0.196,-15.515,79,2010,sg_off_tee
142,142,Derek Lamely,81,-0.199,-12.706,64,2010,sg_off_tee
143,143,Briny Baird,87,-0.2,-15.815,79,2010,sg_off_tee
144,144,Brian Stuard,81,-0.204,-14.51,71,2010,sg_off_tee
145,145,Tom Pernice Jr.,74,-0.212,-12.312,58,2010,sg_off_tee
146,146,Martin Flores,75,-0.223,-14.247,64,2010,sg_off_tee
147,147,Cameron Beckman,68,-0.228,-13.475,59,2010,sg_off_tee
148,148,Tim Herron,79,-0.233,-16.044,69,2010,sg_off_tee
149,149,Stuart Appleby,101,-0.236,-20.741,88,2010,sg_off_tee
T150,T150,Ricky Barnes,103,-0.244,-20.219,83,2010,sg_off_tee
T150,T150,Chris DiMarco,88,-0.244,-19.022,78,2010,sg_off_tee
152,152,Kevin Na,94,-0.247,-18.734,76,2010,sg_off_tee
153,153,Craig Bowden,56,-0.253,-12.126,48,2010,sg_off_tee
154,154,Paul Goydos,78,-0.257,-16.984,66,2010,sg_off_tee
155,155,Bill Lunde,79,-0.265,-17.775,67,2010,sg_off_tee
156,156,Michael Connell,89,-0.284,-21.861,77,2010,sg_off_tee
157,157,Charlie Wi,95,-0.286,-25.492,89,2010,sg_off_tee
158,158,Brandt Snedeker,89,-0.287,-21.536,75,2010,sg_off_tee
159,159,Ryuji Imada,90,-0.298,-25.011,84,2010,sg_off_tee
160,160,Daniel Chopra,74,-0.307,-20.563,67,2010,sg_off_tee
161,161,Webb Simpson,98,-0.308,-28.353,92,2010,sg_off_tee
162,162,Bob Estes,79,-0.33,-23.412,71,2010,sg_off_tee
163,163,Dean Wilson,54,-0.341,-16.014,47,2010,sg_off_tee
T164,T164,Michael Sim,64,-0.351,-18.611,53,2010,sg_off_tee
T164,T164,Jerod Turner,54,-0.351,-14.032,40,2010,sg_off_tee
166,166,David Duval,71,-0.354,-19.841,56,2010,sg_off_tee
167,167,Johnson Wagner,85,-0.356,-26.312,74,2010,sg_off_tee
168,168,David Lutterus,69,-0.368,-20.631,56,2010,sg_off_tee
169,169,Steve Flesch,78,-0.386,-25.118,65,2010,sg_off_tee
170,170,Richard Johnson,90,-0.388,-28.357,73,2010,sg_off_tee
171,171,Jeff Quinney,91,-0.402,-32.142,80,2010,sg_off_tee
172,172,Bryce Molder,84,-0.406,-29.673,73,2010,sg_off_tee
173,173,Brett Quigley,96,-0.422,-37.167,88,2010,sg_off_tee
174,174,Brent Delahoussaye,57,-0.467,-21.926,47,2010,sg_off_tee
175,175,Justin Bolli,55,-0.475,-19.957,42,2010,sg_off_tee
176,176,Skip Kendall,58,-0.486,-23.794,49,2010,sg_off_tee
177,177,George McNeill,79,-0.488,-34.182,70,2010,sg_off_tee
178,178,Trevor Immelman,55,-0.501,-21.543,43,2010,sg_off_tee
179,179,Luke Donald,71,-0.506,-26.826,53,2010,sg_off_tee
180,180,Jimmy Walker,82,-0.538,-37.637,70,2010,sg_off_tee
181,181,Greg Chalmers,93,-0.555,-48.282,87,2010,sg_off_tee
182,182,Nathan Green,86,-0.566,-45.873,81,2010,sg_off_tee
183,183,Brenden Pappas,66,-0.593,-32.615,55,2010,sg_off_tee
184,184,Brian Gay,101,-0.597,-48.933,82,2010,sg_off_tee
185,185,Chad Collins,87,-0.66,-49.477,75,2010,sg_off_tee
186,186,Michael Bradley,77,-0.676,-45.966,68,2010,sg_off_tee
187,187,Kevin Johnson,62,-0.822,-40.292,49,2010,sg_off_tee
188,188,Greg Kraft,52,-0.876,-34.164,39,2010,sg_off_tee
189,189,Rich Barcelo,70,-1.027,-59.549,58,2010,sg_off_tee
190,190,Vance Veazey,58,-1.117,-53.593,48,2010,sg_off_tee
191,191,Mike Weir,59,-1.246,-49.822,40,2010,sg_off_tee
192,192,Brad Faxon,58,-1.343,-64.486,48,2010,sg_off_tee
