RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS,year,measure
1,1,Vijay Singh,112,2.339,0.87,1.116,0.352,89,2004,sg_tee_to_green
2,2,Sergio Garcia,65,1.908,0.606,1.211,0.091,50,2004,sg_tee_to_green
3,3,Ernie Els,62,1.776,0.622,0.709,0.445,41,2004,sg_tee_to_green
4,4,Tiger Woods,78,1.529,0.321,0.873,0.335,54,2004,sg_tee_to_green
5,5,Phil Mickelson,83,1.411,0.597,0.597,0.217,54,2004,sg_tee_to_green
6,6,Justin Rose,77,1.296,0.283,0.882,0.131,63,2004,sg_tee_to_green
7,7,Scott Verplank,92,1.274,0.319,0.971,-0.016,68,2004,sg_tee_to_green
8,8,Jay Haas,84,1.233,-0.134,0.862,0.506,61,2004,sg_tee_to_green
9,9,Kenny Perry,79,1.226,0.73,0.512,-0.017,62,2004,sg_tee_to_green
10,10,Retief Goosen,56,1.197,0.379,0.604,0.213,40,2004,sg_tee_to_green
11,11,Tom Lehman,70,1.184,0.392,0.596,0.196,58,2004,sg_tee_to_green
12,12,Jeff Sluman,98,1.143,0.199,0.76,0.184,82,2004,sg_tee_to_green
13,13,John Huston,62,1.127,0.205,0.701,0.221,45,2004,sg_tee_to_green
14,14,David Toms,80,1.045,0.102,0.968,-0.024,59,2004,sg_tee_to_green
15,15,Fred Couples,54,1.036,0.234,0.37,0.432,44,2004,sg_tee_to_green
16,16,Scott Hoch,52,1.002,0.237,0.721,0.045,46,2004,sg_tee_to_green
17,17,Robert Allenby,93,1,0.541,0.675,-0.215,72,2004,sg_tee_to_green
18,18,Stewart Cink,103,0.973,-0.143,0.724,0.391,79,2004,sg_tee_to_green
19,19,Rory Sabbatini,89,0.961,0.321,0.322,0.317,74,2004,sg_tee_to_green
20,20,Joe Durant,85,0.956,0.692,0.453,-0.19,76,2004,sg_tee_to_green
21,21,Jerry Kelly,113,0.947,0.081,0.616,0.25,88,2004,sg_tee_to_green
22,22,Chris DiMarco,105,0.942,0.134,0.508,0.299,77,2004,sg_tee_to_green
23,23,Davis Love III,85,0.879,0.491,0.232,0.156,61,2004,sg_tee_to_green
24,24,Luke Donald,72,0.878,0.044,0.563,0.271,62,2004,sg_tee_to_green
25,25,Stuart Appleby,84,0.866,0.538,0.066,0.263,59,2004,sg_tee_to_green
26,26,Stephen Ames,97,0.851,0.218,0.712,-0.078,80,2004,sg_tee_to_green
27,27,Bo Van Pelt,107,0.8,0.512,0.194,0.094,82,2004,sg_tee_to_green
28,28,Lee Janzen,84,0.785,-0.167,0.692,0.26,70,2004,sg_tee_to_green
29,29,Carlos Franco,99,0.779,0.13,0.413,0.236,90,2004,sg_tee_to_green
30,30,Tim Clark,84,0.775,0.184,0.691,-0.099,71,2004,sg_tee_to_green
31,31,Justin Leonard,90,0.75,0.035,0.379,0.336,65,2004,sg_tee_to_green
32,32,Kirk Triplett,88,0.733,0.192,0.292,0.249,66,2004,sg_tee_to_green
33,33,Chad Campbell,100,0.711,0.183,0.66,-0.132,77,2004,sg_tee_to_green
34,34,John Daly,79,0.708,0.477,0.042,0.19,67,2004,sg_tee_to_green
35,35,Bernhard Langer,59,0.7,0.029,0.616,0.055,42,2004,sg_tee_to_green
36,36,Woody Austin,94,0.687,0.381,0.35,-0.045,83,2004,sg_tee_to_green
37,37,Ben Curtis,56,0.669,0.171,0.274,0.223,41,2004,sg_tee_to_green
38,38,Peter Lonard,68,0.659,0.365,0.294,0.001,54,2004,sg_tee_to_green
39,39,Joey Sindelar,100,0.634,0.281,0.679,-0.327,89,2004,sg_tee_to_green
40,40,Craig Barlow,80,0.633,0.383,0.028,0.222,69,2004,sg_tee_to_green
41,41,Zach Johnson,109,0.629,0.567,0.128,-0.066,89,2004,sg_tee_to_green
42,42,Tim Herron,84,0.618,0.225,0.212,0.182,66,2004,sg_tee_to_green
43,43,Vaughn Taylor,84,0.615,0.207,0.426,-0.018,77,2004,sg_tee_to_green
44,44,Duffy Waldorf,79,0.611,0.157,0.568,-0.114,59,2004,sg_tee_to_green
45,45,Bart Bryant,73,0.61,0.226,0.484,-0.1,65,2004,sg_tee_to_green
46,46,Ted Purdy,114,0.609,0.369,0.322,-0.081,103,2004,sg_tee_to_green
47,47,Adam Scott,55,0.603,0.18,0.571,-0.147,40,2004,sg_tee_to_green
48,48,Arron Oberholser,77,0.575,0.243,0.232,0.1,62,2004,sg_tee_to_green
49,49,Dudley Hart,60,0.571,0.064,0.557,-0.051,46,2004,sg_tee_to_green
50,50,Fred Funk,97,0.566,0.121,0.456,-0.011,83,2004,sg_tee_to_green
51,51,Briny Baird,100,0.549,0.216,0.374,-0.041,81,2004,sg_tee_to_green
52,52,Charles Howell III,104,0.541,0.428,0.018,0.095,76,2004,sg_tee_to_green
53,53,Mike Weir,75,0.511,-0.029,0.351,0.19,55,2004,sg_tee_to_green
54,54,Heath Slocum,92,0.51,0.13,0.257,0.123,83,2004,sg_tee_to_green
55,55,Bob Estes,73,0.469,-0.273,0.48,0.262,51,2004,sg_tee_to_green
56,56,J.J. Henry,103,0.458,0.574,-0.045,-0.071,91,2004,sg_tee_to_green
57,57,John Senden,99,0.439,0.356,0.177,-0.094,86,2004,sg_tee_to_green
58,58,Robert Damron,92,0.436,0.054,0.356,0.026,84,2004,sg_tee_to_green
59,59,Robert Gamez,103,0.433,0.111,0.378,-0.056,90,2004,sg_tee_to_green
60,60,Dennis Paulson,71,0.428,0.404,-0.053,0.077,66,2004,sg_tee_to_green
61,61,Rod Pampling,98,0.42,0.183,0.014,0.223,78,2004,sg_tee_to_green
62,62,Kevin Sutherland,86,0.419,0.241,-0.137,0.315,67,2004,sg_tee_to_green
63,63,Shigeki Maruyama,93,0.417,-0.198,0.493,0.122,78,2004,sg_tee_to_green
