RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,year,measure
1,1,David Lynn,1,59.86,"865,000","1,445,000",2012,pct_total_money_won
2,2,Rory McIlroy,16,37.05,"8,047,951","21,720,890",2012,pct_total_money_won
3,3,Tiger Woods,19,24.33,"6,133,158","25,212,890",2012,pct_total_money_won
4,4,Bubba Watson,19,18.88,"4,644,996","24,604,890",2012,pct_total_money_won
5,5,Brandt Snedeker,22,18.13,"4,989,739","27,516,890",2012,pct_total_money_won
6,6,Jason Dufner,22,17.55,"4,869,303","27,750,890",2012,pct_total_money_won
7,7,Justin Rose,19,17.14,"4,290,929","25,032,890",2012,pct_total_money_won
8,8,Luke Donald,17,15.35,"3,512,023","22,872,890",2012,pct_total_money_won
9,9,Phil Mickelson,22,14.89,"4,203,821","28,240,890",2012,pct_total_money_won
10,10,Zach Johnson,25,14.63,"4,504,244","30,792,890",2012,pct_total_money_won
11,11,Lee Westwood,15,14.59,"3,016,569","20,676,890",2012,pct_total_money_won
12,12,Dustin Johnson,19,14.04,"3,393,820","24,168,890",2012,pct_total_money_won
13,13,Matt Kuchar,22,13.86,"3,903,064","28,164,890",2012,pct_total_money_won
14,14,Louis Oosthuizen,19,13.84,"3,460,995","25,014,890",2012,pct_total_money_won
15,15,Steve Stricker,19,13.8,"3,420,021","24,784,890",2012,pct_total_money_won
16,16,Hunter Mahan,23,13.58,"4,019,193","29,604,890",2012,pct_total_money_won
17,17,Adam Scott,16,13.15,"2,899,556","22,044,890",2012,pct_total_money_won
18,18,Ernie Els,22,12.65,"3,453,117","27,304,890",2012,pct_total_money_won
19,19,Webb Simpson,22,12.52,"3,436,758","27,451,000",2012,pct_total_money_won
20,20,Keegan Bradley,25,12.31,"3,910,658","31,768,890",2012,pct_total_money_won
21,21,Jim Furyk,24,12.15,"3,623,804","29,824,890",2012,pct_total_money_won
22,23,Sergio Garcia,16,11.78,"2,510,115","21,306,890",2012,pct_total_money_won
23,22,Ben Curtis,19,11.61,"2,494,152","21,480,890",2012,pct_total_money_won
24,24,Casey Wittenberg,1,11.36,"163,594","1,440,000",2012,pct_total_money_won
25,25,Carl Pettersson,26,11.32,"3,538,655","31,268,890",2012,pct_total_money_won
26,26,Graeme McDowell,16,11.3,"2,408,279","21,306,890",2012,pct_total_money_won
27,32,Robert Garrigus,26,10.51,"3,206,530","30,497,000",2012,pct_total_money_won
28,27,Rickie Fowler,23,10.34,"3,066,292","29,640,890",2012,pct_total_money_won
29,29,Ryan Moore,24,10.21,"2,858,943","27,995,000",2012,pct_total_money_won
30,30,Peter Hanson,11,10.17,"1,511,221","14,862,890",2012,pct_total_money_won
31,28,Jonas Blixt,21,10.16,"2,255,695","22,194,000",2012,pct_total_money_won
32,31,Bo Van Pelt,24,10.01,"3,043,509","30,414,890",2012,pct_total_money_won
33,33,Nick Watney,26,9.41,"3,044,223","32,344,890",2012,pct_total_money_won
34,34,Luke Guthrie,4,8.69,"284,672","3,276,000",2012,pct_total_money_won
35,35,Ian Poulter,15,8.42,"1,715,271","20,370,890",2012,pct_total_money_won
