RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,year,measure
1,1,Tiger Woods,69,1.224,58.772,48,2012,sg_app_green
2,2,Rory McIlroy,60,1.002,40.095,40,2012,sg_app_green
3,3,Steve Stricker,73,0.898,48.511,54,2012,sg_app_green
4,4,Justin Rose,69,0.84,44.515,53,2012,sg_app_green
5,5,Jim Furyk,85,0.83,53.923,65,2012,sg_app_green
6,6,Brendon de Jonge,115,0.754,76.931,102,2012,sg_app_green
7,7,Chad Campbell,84,0.751,54.857,73,2012,sg_app_green
8,8,Kevin Stadler,85,0.711,49.738,70,2012,sg_app_green
9,9,Lee Westwood,60,0.681,27.237,40,2012,sg_app_green
10,10,Robert Garrigus,89,0.68,50.288,74,2012,sg_app_green
11,11,Bo Van Pelt,84,0.665,43.226,65,2012,sg_app_green
12,12,Graeme McDowell,55,0.641,24.351,38,2012,sg_app_green
13,13,Dustin Johnson,70,0.638,33.823,53,2012,sg_app_green
14,14,Davis Love III,64,0.635,33.041,52,2012,sg_app_green
15,15,Nick Watney,97,0.586,44.568,76,2012,sg_app_green
16,16,Luke Donald,63,0.582,27.931,48,2012,sg_app_green
17,17,Phil Mickelson,79,0.566,33.958,60,2012,sg_app_green
18,18,Marc Leishman,84,0.559,42.474,76,2012,sg_app_green
19,19,Kris Blanks,65,0.558,33.464,60,2012,sg_app_green
20,20,Robert Allenby,76,0.537,35.436,66,2012,sg_app_green
21,21,Vijay Singh,99,0.52,42.107,81,2012,sg_app_green
22,22,Jason Dufner,83,0.519,33.189,64,2012,sg_app_green
23,23,Ricky Barnes,92,0.499,40.938,82,2012,sg_app_green
24,24,Adam Scott,59,0.494,20.256,41,2012,sg_app_green
25,25,Matt Kuchar,86,0.49,32.366,66,2012,sg_app_green
26,26,Louis Oosthuizen,65,0.478,23.442,49,2012,sg_app_green
27,27,John Senden,81,0.473,29.315,62,2012,sg_app_green
28,28,Boo Weekley,74,0.466,27.038,58,2012,sg_app_green
29,29,Ernie Els,80,0.462,30.014,65,2012,sg_app_green
30,30,Bill Lunde,83,0.449,30.098,67,2012,sg_app_green
31,31,Charl Schwartzel,56,0.445,17.81,40,2012,sg_app_green
32,32,Chris Kirk,93,0.444,37.755,85,2012,sg_app_green
33,33,Kyle Stanley,86,0.439,30.701,70,2012,sg_app_green
34,34,Heath Slocum,93,0.427,32.062,75,2012,sg_app_green
35,35,Ben Curtis,62,0.408,19.599,48,2012,sg_app_green
36,36,Jonathan Byrd,69,0.406,22.731,56,2012,sg_app_green
37,37,Bob Estes,78,0.396,25.738,65,2012,sg_app_green
38,38,Michael Bradley,63,0.391,21.496,55,2012,sg_app_green
39,39,Matt Every,80,0.377,24.097,64,2012,sg_app_green
40,40,Johnson Wagner,88,0.376,28.551,76,2012,sg_app_green
41,41,Hunter Mahan,88,0.372,23.837,64,2012,sg_app_green
42,42,Greg Owen,90,0.367,28.237,77,2012,sg_app_green
43,43,Charley Hoffman,88,0.356,27.037,76,2012,sg_app_green
44,44,Zach Johnson,95,0.342,25.282,74,2012,sg_app_green
45,45,Nick O'Hern,78,0.34,23.114,68,2012,sg_app_green
T46,T46,Graham DeLaet,79,0.334,23.745,71,2012,sg_app_green
T46,T46,Carl Pettersson,92,0.334,26.716,80,2012,sg_app_green
48,48,Padraig Harrington,67,0.331,14.904,45,2012,sg_app_green
49,49,D.A. Points,88,0.329,26.313,80,2012,sg_app_green
50,50,Webb Simpson,77,0.319,21.075,66,2012,sg_app_green
51,51,Will Claxton,99,0.318,27.373,86,2012,sg_app_green
52,52,Michael Thompson,80,0.317,20.625,65,2012,sg_app_green
53,53,Ken Duke,104,0.309,27.766,90,2012,sg_app_green
54,54,Freddie Jacobson,61,0.306,13.458,44,2012,sg_app_green
55,55,Kevin Na,80,0.301,19.559,65,2012,sg_app_green
56,56,Henrik Stenson,51,0.297,12.487,42,2012,sg_app_green
57,57,Pat Perez,81,0.272,18.76,69,2012,sg_app_green
58,58,Ryan Moore,89,0.27,21.846,81,2012,sg_app_green
59,59,Bubba Watson,68,0.265,13.529,51,2012,sg_app_green
60,60,Ryan Palmer,81,0.258,18.3,71,2012,sg_app_green
61,61,Charles Howell III,98,0.257,19.782,77,2012,sg_app_green
62,62,Scott Dunlap,57,0.252,11.604,46,2012,sg_app_green
63,63,Sean O'Hair,84,0.25,18.968,76,2012,sg_app_green
64,64,Trevor Immelman,76,0.242,13.808,57,2012,sg_app_green
65,65,Keegan Bradley,90,0.238,16.916,71,2012,sg_app_green
66,66,Jeff Overton,101,0.236,21.734,92,2012,sg_app_green
67,67,John Merrick,83,0.23,16.552,72,2012,sg_app_green
68,68,Rickie Fowler,84,0.228,15.065,66,2012,sg_app_green
69,69,Camilo Villegas,79,0.208,15.165,73,2012,sg_app_green
70,70,Kyle Thompson,51,0.204,7.532,37,2012,sg_app_green
71,71,Scott Piercy,95,0.202,17.357,86,2012,sg_app_green
72,72,Bud Cauley,99,0.201,18.328,91,2012,sg_app_green
73,73,Stewart Cink,71,0.195,10.55,54,2012,sg_app_green
74,74,Tim Herron,88,0.193,14.649,76,2012,sg_app_green
T75,T75,John Mallinger,74,0.184,11.614,63,2012,sg_app_green
T75,T75,Kevin Streelman,89,0.184,14.159,77,2012,sg_app_green
77,77,Martin Laird,77,0.175,9.427,54,2012,sg_app_green
78,78,Geoff Ogilvy,73,0.168,9.257,55,2012,sg_app_green
79,79,Vaughn Taylor,81,0.165,10.585,64,2012,sg_app_green
T80,T80,K.J. Choi,71,0.153,8.591,56,2012,sg_app_green
T80,T80,Gary Woodland,70,0.153,8.084,53,2012,sg_app_green
82,82,Tim Clark,60,0.151,7.54,50,2012,sg_app_green
83,83,Brian Davis,91,0.146,11.529,79,2012,sg_app_green
84,84,Garth Mulroy,59,0.143,6.569,46,2012,sg_app_green
85,85,Chez Reavie,83,0.136,8.966,66,2012,sg_app_green
86,86,Jason Bohn,81,0.128,8.459,66,2012,sg_app_green
87,87,J.J. Henry,93,0.126,8.95,71,2012,sg_app_green
88,88,Gary Christian,91,0.124,9.265,75,2012,sg_app_green
T89,T89,William McGirt,96,0.11,8.669,79,2012,sg_app_green
T89,T89,Brandt Snedeker,81,0.11,7.173,65,2012,sg_app_green
91,91,Jimmy Walker,101,0.105,9.591,91,2012,sg_app_green
T92,T92,Jason Day,57,0.102,4.777,47,2012,sg_app_green
T92,T92,Seung-Yul Noh,105,0.102,8.699,85,2012,sg_app_green
94,94,Bryce Molder,83,0.1,7.083,71,2012,sg_app_green
95,95,Jeff Maggert,83,0.084,6.574,78,2012,sg_app_green
96,96,Andres Romero,68,0.078,4.237,54,2012,sg_app_green
T97,T97,Sergio Garcia,57,0.075,3.321,44,2012,sg_app_green
T97,T97,Troy Matteson,100,0.075,6.234,83,2012,sg_app_green
99,99,Robert Karlsson,54,0.072,2.938,41,2012,sg_app_green
100,100,Ryo Ishikawa,54,0.069,2.558,37,2012,sg_app_green
101,101,Ian Poulter,57,0.068,2.584,38,2012,sg_app_green
102,102,Cameron Beckman,81,0.058,3.973,69,2012,sg_app_green
T103,T103,Kyle Reifers,86,0.056,4.115,74,2012,sg_app_green
T103,T103,Cameron Tringale,88,0.056,4.275,77,2012,sg_app_green
105,105,Nathan Green,73,0.048,2.72,57,2012,sg_app_green
106,106,Mark Wilson,84,0.043,2.93,68,2012,sg_app_green
107,107,James Driscoll,83,0.032,2.27,70,2012,sg_app_green
108,108,John Huh,99,0.031,2.617,85,2012,sg_app_green
109,109,Roberto Castro,92,0.03,2.221,75,2012,sg_app_green
110,110,Billy Horschel,63,0.028,1.349,48,2012,sg_app_green
111,111,Russell Knox,72,0.025,1.392,56,2012,sg_app_green
T112,T112,Greg Chalmers,88,0.012,0.914,75,2012,sg_app_green
T112,T112,David Toms,60,0.012,0.506,44,2012,sg_app_green
114,114,Roland Thatcher,55,0.01,0.435,44,2012,sg_app_green
115,115,Dicky Pride,62,0.002,0.108,49,2012,sg_app_green
116,116,Gavin Coles,72,-0.008,-0.48,57,2012,sg_app_green
117,117,Jonas Blixt,72,-0.01,-0.627,64,2012,sg_app_green
118,118,Bobby Gates,87,-0.016,-1.201,76,2012,sg_app_green
119,119,Hunter Haas,69,-0.02,-1.016,52,2012,sg_app_green
120,120,Rory Sabbatini,84,-0.021,-1.485,72,2012,sg_app_green
121,121,George McNeill,85,-0.023,-1.648,71,2012,sg_app_green
122,122,Danny Lee,74,-0.031,-1.856,59,2012,sg_app_green
123,123,Harris English,98,-0.038,-3.304,87,2012,sg_app_green
124,124,Spencer Levin,81,-0.041,-2.737,66,2012,sg_app_green
125,125,Chris Stroud,86,-0.049,-3.686,75,2012,sg_app_green
126,126,Blake Adams,107,-0.055,-4.867,88,2012,sg_app_green
127,127,Daniel Summerhays,81,-0.066,-4.51,68,2012,sg_app_green
128,128,Chris DiMarco,83,-0.073,-5.239,72,2012,sg_app_green
129,129,Billy Mayfair,90,-0.083,-6.476,78,2012,sg_app_green
130,130,D.J. Trahan,73,-0.085,-5.254,62,2012,sg_app_green
131,131,Rocco Mediate,70,-0.09,-5.221,58,2012,sg_app_green
132,132,Tom Pernice Jr.,62,-0.097,-5.061,52,2012,sg_app_green
133,133,Scott Stallings,78,-0.113,-7.678,68,2012,sg_app_green
134,134,Justin Leonard,79,-0.117,-7.953,68,2012,sg_app_green
T135,T135,Chris Couch,61,-0.131,-7.053,54,2012,sg_app_green
T135,T135,Rod Pampling,88,-0.131,-9.018,69,2012,sg_app_green
137,137,Ben Crane,73,-0.138,-8.538,62,2012,sg_app_green
138,138,Jason Kokrak,79,-0.173,-11.969,69,2012,sg_app_green
139,139,Bill Haas,79,-0.18,-10.994,61,2012,sg_app_green
140,140,Kevin Chappell,91,-0.186,-13.358,72,2012,sg_app_green
141,141,Richard Lee,71,-0.187,-10.658,57,2012,sg_app_green
142,142,Jhonattan Vegas,77,-0.206,-14.184,69,2012,sg_app_green
143,143,David Hearn,95,-0.21,-18.518,88,2012,sg_app_green
144,144,Jerry Kelly,84,-0.218,-15.881,73,2012,sg_app_green
145,145,J.B. Holmes,90,-0.219,-17.078,78,2012,sg_app_green
146,146,Alexandre Rocha,62,-0.221,-11.068,50,2012,sg_app_green
147,147,Brandt Jobe,57,-0.222,-9.981,45,2012,sg_app_green
148,148,Charlie Beljan,61,-0.226,-9.706,43,2012,sg_app_green
149,149,Arjun Atwal,79,-0.227,-14.958,66,2012,sg_app_green
150,150,Charlie Wi,86,-0.229,-16.737,73,2012,sg_app_green
151,151,Josh Teater,97,-0.231,-19.176,83,2012,sg_app_green
152,152,David Mathis,83,-0.239,-16.459,69,2012,sg_app_green
153,153,Scott Brown,65,-0.255,-12.979,51,2012,sg_app_green
154,154,Tommy Gainey,98,-0.26,-23.362,90,2012,sg_app_green
155,155,John Daly,50,-0.267,-10.144,38,2012,sg_app_green
156,156,John Rollins,81,-0.269,-19.113,71,2012,sg_app_green
157,157,Tom Gillis,75,-0.274,-18.889,69,2012,sg_app_green
T158,T158,Stephen Ames,54,-0.277,-10.816,39,2012,sg_app_green
T158,T158,"Ted Potter, Jr.",77,-0.277,-16.878,61,2012,sg_app_green
160,160,Mathew Goggin,65,-0.292,-16.079,55,2012,sg_app_green
161,161,Steve Wheatcroft,56,-0.294,-12.359,42,2012,sg_app_green
