RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,year,measure
1,1,Corey Pavin,83,0.535,35.837,67,2004,sg_around_green
2,2,Jay Haas,84,0.506,30.854,61,2004,sg_around_green
3,3,Ernie Els,62,0.445,18.243,41,2004,sg_around_green
4,4,José María Olazábal,56,0.44,18.491,42,2004,sg_around_green
5,5,Fred Couples,54,0.432,19.012,44,2004,sg_around_green
6,6,Stewart Cink,103,0.391,30.923,79,2004,sg_around_green
7,7,Jonathan Byrd,85,0.364,26.603,73,2004,sg_around_green
8,8,Nick Price,51,0.357,12.851,36,2004,sg_around_green
9,9,Steve Stricker,81,0.353,24.39,69,2004,sg_around_green
10,10,Vijay Singh,112,0.352,31.349,89,2004,sg_around_green
11,11,Craig Parry,52,0.345,12.752,37,2004,sg_around_green
12,12,Brian Gay,96,0.342,30.112,88,2004,sg_around_green
13,13,Justin Leonard,90,0.336,21.813,65,2004,sg_around_green
14,14,Tiger Woods,78,0.335,18.077,54,2004,sg_around_green
15,15,David Frost,78,0.321,24.094,75,2004,sg_around_green
16,16,Rory Sabbatini,89,0.317,23.494,74,2004,sg_around_green
17,17,Kevin Sutherland,86,0.315,21.09,67,2004,sg_around_green
18,18,Chris DiMarco,105,0.299,23.031,77,2004,sg_around_green
19,19,Chris Riley,78,0.297,15.767,53,2004,sg_around_green
20,20,Dan Forsman,79,0.291,19.178,66,2004,sg_around_green
T21,T21,Luke Donald,72,0.271,16.832,62,2004,sg_around_green
T21,T21,Craig Perks,75,0.271,17.09,63,2004,sg_around_green
23,23,Stuart Appleby,84,0.263,15.509,59,2004,sg_around_green
24,24,Bob Estes,73,0.262,13.354,51,2004,sg_around_green
T25,T25,Lee Janzen,84,0.26,18.2,70,2004,sg_around_green
T25,T25,Tim Petrovic,111,0.26,22.661,87,2004,sg_around_green
27,27,Loren Roberts,81,0.257,17.47,68,2004,sg_around_green
28,28,Glen Day,101,0.256,22.497,88,2004,sg_around_green
29,29,Jerry Kelly,113,0.25,21.963,88,2004,sg_around_green
30,30,Kirk Triplett,88,0.249,16.439,66,2004,sg_around_green
31,31,Carlos Franco,99,0.236,21.28,90,2004,sg_around_green
T32,T32,Paul Azinger,75,0.233,15.17,65,2004,sg_around_green
T32,T32,Jesper Parnevik,86,0.233,17.234,74,2004,sg_around_green
34,34,Grant Waite,79,0.232,15.748,68,2004,sg_around_green
35,35,Esteban Toledo,92,0.227,18.143,80,2004,sg_around_green
36,36,Brad Faxon,94,0.226,15.826,70,2004,sg_around_green
37,37,Jason Dufner,79,0.224,16.129,72,2004,sg_around_green
T38,T38,Ben Curtis,56,0.223,9.145,41,2004,sg_around_green
T38,T38,Rod Pampling,98,0.223,17.419,78,2004,sg_around_green
40,40,Craig Barlow,80,0.222,15.336,69,2004,sg_around_green
T41,T41,John Huston,62,0.221,9.96,45,2004,sg_around_green
T41,T41,Omar Uresti,85,0.221,16.809,76,2004,sg_around_green
43,43,Phil Mickelson,83,0.217,11.721,54,2004,sg_around_green
44,44,Len Mattiace,75,0.216,15.085,70,2004,sg_around_green
45,45,Retief Goosen,56,0.213,8.539,40,2004,sg_around_green
46,46,David Peoples,82,0.205,15.34,75,2004,sg_around_green
47,47,Aaron Baddeley,87,0.201,15.239,76,2004,sg_around_green
48,48,Tom Lehman,70,0.196,11.362,58,2004,sg_around_green
T49,T49,John Daly,79,0.19,12.709,67,2004,sg_around_green
T49,T49,Mike Weir,75,0.19,10.425,55,2004,sg_around_green
51,51,Jeff Sluman,98,0.184,15.088,82,2004,sg_around_green
52,52,Tim Herron,84,0.182,11.979,66,2004,sg_around_green
53,53,Carl Pettersson,100,0.179,14.108,79,2004,sg_around_green
54,54,Davis Love III,85,0.156,9.502,61,2004,sg_around_green
55,55,Dean Wilson,99,0.145,13.171,91,2004,sg_around_green
T56,T56,Mark Brooks,72,0.144,8.189,57,2004,sg_around_green
T56,T56,Steve Pate,71,0.144,8.774,61,2004,sg_around_green
58,58,Kevin Na,100,0.14,12.019,86,2004,sg_around_green
59,59,Ben Crane,92,0.139,11.236,81,2004,sg_around_green
60,60,Justin Rose,77,0.131,8.254,63,2004,sg_around_green
T61,T61,Tom Byrum,83,0.13,9.395,72,2004,sg_around_green
T61,T61,Billy Mayfair,109,0.13,12.118,93,2004,sg_around_green
63,63,John Cook,57,0.127,6.115,48,2004,sg_around_green
64,64,Brett Quigley,102,0.125,11.007,88,2004,sg_around_green
65,65,Heath Slocum,92,0.123,10.228,83,2004,sg_around_green
T66,T66,Mark Hensby,97,0.122,10.012,82,2004,sg_around_green
T66,T66,Shigeki Maruyama,93,0.122,9.543,78,2004,sg_around_green
T68,T68,Steve Flesch,109,0.121,9.954,82,2004,sg_around_green
T68,T68,Mark Wilson,62,0.121,7.009,58,2004,sg_around_green
70,70,Todd Fischer,104,0.113,10.407,92,2004,sg_around_green
71,71,Brent Geiberger,94,0.104,8.767,84,2004,sg_around_green
72,72,Arron Oberholser,77,0.1,6.222,62,2004,sg_around_green
73,73,Charles Howell III,104,0.095,7.195,76,2004,sg_around_green
74,74,Bo Van Pelt,107,0.094,7.718,82,2004,sg_around_green
T75,T75,Todd Hamilton,92,0.093,6.484,70,2004,sg_around_green
T75,T75,Deane Pappas,72,0.093,5.944,64,2004,sg_around_green
T77,T77,Sergio Garcia,65,0.091,4.559,50,2004,sg_around_green
T77,T77,Matt Kuchar,83,0.091,7.033,77,2004,sg_around_green
79,79,Mark O'Meara,58,0.087,3.578,41,2004,sg_around_green
80,80,José Coceres,68,0.085,5.158,61,2004,sg_around_green
81,81,Pat Bates,99,0.083,7.503,90,2004,sg_around_green
T82,T82,Notah Begay III,71,0.077,4.843,63,2004,sg_around_green
T82,T82,Dennis Paulson,71,0.077,5.067,66,2004,sg_around_green
84,84,Craig Bowden,83,0.07,5.213,75,2004,sg_around_green
85,85,Rich Beem,81,0.067,4.069,61,2004,sg_around_green
T86,T86,Shaun Micheel,93,0.064,4.511,70,2004,sg_around_green
T86,T86,Geoff Ogilvy,91,0.064,4.888,76,2004,sg_around_green
88,88,Tom Carter,113,0.059,5.701,96,2004,sg_around_green
89,89,Bernhard Langer,59,0.055,2.293,42,2004,sg_around_green
90,90,Joe Ogilvie,104,0.051,4.369,85,2004,sg_around_green
91,91,Scott Simpson,55,0.046,2.35,51,2004,sg_around_green
92,92,Scott Hoch,52,0.045,2.048,46,2004,sg_around_green
93,93,Steve Elkington,64,0.044,2.442,56,2004,sg_around_green
94,94,Blaine McCallister,68,0.04,2.449,62,2004,sg_around_green
T95,T95,Greg Chalmers,70,0.038,2.474,65,2004,sg_around_green
T95,T95,Brenden Pappas,111,0.038,3.717,99,2004,sg_around_green
97,97,Billy Andrade,104,0.034,3.133,92,2004,sg_around_green
98,98,Hank Kuehne,91,0.03,2.539,84,2004,sg_around_green
T99,T99,Niclas Fasth,61,0.028,1.48,52,2004,sg_around_green
T99,T99,Skip Kendall,99,0.028,2.257,80,2004,sg_around_green
T101,T101,Robert Damron,92,0.026,2.166,84,2004,sg_around_green
T101,T101,Brian Kortan,65,0.026,1.503,57,2004,sg_around_green
T103,T103,Alex Cejka,76,0.02,1.144,57,2004,sg_around_green
T103,T103,K.J. Choi,83,0.02,1.24,63,2004,sg_around_green
105,105,David Morland IV,73,0.015,0.932,62,2004,sg_around_green
106,106,Bob Burns,88,0.012,0.971,78,2004,sg_around_green
107,107,Stephen Leaney,84,0.011,0.645,57,2004,sg_around_green
108,108,Tom Pernice Jr.,103,0.005,0.411,86,2004,sg_around_green
109,109,Harrison Frazar,86,0.002,0.163,71,2004,sg_around_green
110,110,Peter Lonard,68,0.001,0.027,54,2004,sg_around_green
111,111,Matt Gogel,86,0,-0.029,70,2004,sg_around_green
112,112,D.J. Brigman,79,-0.002,-0.131,69,2004,sg_around_green
113,113,Tommy Armour III,87,-0.004,-0.327,76,2004,sg_around_green
114,114,Daniel Chopra,108,-0.006,-0.537,92,2004,sg_around_green
115,115,Fred Funk,97,-0.011,-0.937,83,2004,sg_around_green
116,116,Freddie Jacobson,83,-0.014,-0.88,63,2004,sg_around_green
117,117,Scott Verplank,92,-0.016,-1.105,68,2004,sg_around_green
118,118,Kenny Perry,79,-0.017,-1.03,62,2004,sg_around_green
T119,T119,Scott Hend,81,-0.018,-1.238,70,2004,sg_around_green
T119,T119,Vaughn Taylor,84,-0.018,-1.372,77,2004,sg_around_green
121,121,David Toms,80,-0.024,-1.439,59,2004,sg_around_green
T122,T122,Cameron Beckman,99,-0.026,-2.299,87,2004,sg_around_green
T122,T122,J.P. Hayes,79,-0.026,-1.667,64,2004,sg_around_green
124,124,Roger Tambellini,81,-0.033,-2.281,70,2004,sg_around_green
125,125,Michael Allen,87,-0.037,-2.842,77,2004,sg_around_green
126,126,Mark Calcavecchia,79,-0.039,-2.366,60,2004,sg_around_green
127,127,Briny Baird,100,-0.041,-3.295,81,2004,sg_around_green
128,128,Woody Austin,94,-0.045,-3.735,83,2004,sg_around_green
129,129,Neal Lancaster,106,-0.049,-4.555,93,2004,sg_around_green
130,130,Dudley Hart,60,-0.051,-2.335,46,2004,sg_around_green
T131,T131,Cliff Kresge,89,-0.052,-3.865,75,2004,sg_around_green
T131,T131,Spike McRoy,93,-0.052,-4.002,77,2004,sg_around_green
133,133,Robert Gamez,103,-0.056,-5.039,90,2004,sg_around_green
134,134,Bob Tway,90,-0.057,-3.76,66,2004,sg_around_green
135,135,Gene Sauers,83,-0.062,-4.53,73,2004,sg_around_green
136,136,Mathias Grönberg,91,-0.064,-4.726,74,2004,sg_around_green
137,137,Zach Johnson,109,-0.066,-5.861,89,2004,sg_around_green
138,138,J.J. Henry,103,-0.071,-6.495,91,2004,sg_around_green
139,139,Stephen Ames,97,-0.078,-6.254,80,2004,sg_around_green
140,140,Ted Purdy,114,-0.081,-8.361,103,2004,sg_around_green
T141,T141,Steve Allan,102,-0.087,-7.695,88,2004,sg_around_green
T141,T141,Pat Perez,102,-0.087,-7.451,86,2004,sg_around_green
143,143,John Senden,99,-0.094,-8.124,86,2004,sg_around_green
144,144,Jonathan Kaye,79,-0.096,-5.955,62,2004,sg_around_green
145,145,Tim Clark,84,-0.099,-7.062,71,2004,sg_around_green
