RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,year,measure
1,1,Ian Poulter,63,0.653,25.454,39,2007,sg_around_green
2,2,Chris Riley,59,0.644,32.828,51,2007,sg_around_green
3,3,K.J. Choi,87,0.632,42.98,68,2007,sg_around_green
4,4,Aaron Baddeley,83,0.535,35.335,66,2007,sg_around_green
5,5,Phil Mickelson,73,0.499,25.95,52,2007,sg_around_green
6,6,Mike Weir,82,0.498,29.855,60,2007,sg_around_green
7,7,Stuart Appleby,74,0.493,28.597,58,2007,sg_around_green
8,8,Jim Furyk,84,0.413,27.287,66,2007,sg_around_green
9,9,Ryuji Imada,104,0.398,35.462,89,2007,sg_around_green
10,10,Arron Oberholser,69,0.396,21.005,53,2007,sg_around_green
11,11,Matt Kuchar,85,0.371,26.346,71,2007,sg_around_green
12,12,Sergio Garcia,68,0.36,19.823,55,2007,sg_around_green
T13,T13,J.P. Hayes,89,0.357,28.538,80,2007,sg_around_green
T13,T13,Kevin Na,84,0.357,27.884,78,2007,sg_around_green
15,15,Vijay Singh,102,0.355,29.084,82,2007,sg_around_green
16,16,Tom Pernice Jr.,104,0.354,29.731,84,2007,sg_around_green
17,17,Steve Stricker,81,0.351,22.828,65,2007,sg_around_green
18,18,Luke Donald,69,0.342,17.104,50,2007,sg_around_green
19,19,Alex Cejka,80,0.34,25.183,74,2007,sg_around_green
20,20,Shigeki Maruyama,84,0.331,26.479,80,2007,sg_around_green
21,21,Jason Schultz,63,0.324,17.183,53,2007,sg_around_green
22,22,Rory Sabbatini,81,0.311,19.611,63,2007,sg_around_green
T23,T23,Marco Dawson,73,0.301,19.577,65,2007,sg_around_green
T23,T23,Steve Elkington,87,0.301,22.006,73,2007,sg_around_green
T23,T23,José María Olazábal,52,0.301,11.143,37,2007,sg_around_green
26,26,Justin Leonard,95,0.293,24.019,82,2007,sg_around_green
27,27,Nick O'Hern,72,0.288,15.857,55,2007,sg_around_green
