RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,year,measure
1,1,Justin Leonard,75,0.571,35.431,62,2014,sg_around_green
2,2,Ernie Els,85,0.529,33.299,63,2014,sg_around_green
3,3,Bud Cauley,56,0.467,21.479,46,2014,sg_around_green
4,4,Mike Weir,69,0.443,23.46,53,2014,sg_around_green
5,5,Charl Schwartzel,64,0.421,22.721,54,2014,sg_around_green
6,6,Jim Furyk,84,0.408,26.941,66,2014,sg_around_green
7,T10,Jason Day,54,0.402,13.255,33,2014,sg_around_green
8,7,Brian Davis,93,0.399,32.282,81,2014,sg_around_green
9,8,Kevin Na,94,0.397,30.945,78,2014,sg_around_green
10,12,Patrick Reed,92,0.393,29.101,74,2014,sg_around_green
11,9,Charlie Wi,72,0.383,24.866,65,2014,sg_around_green
12,T10,Matt Kuchar,91,0.38,28.882,76,2014,sg_around_green
13,13,Roberto Castro,76,0.365,21.541,59,2014,sg_around_green
14,15,Justin Rose,70,0.36,18.737,52,2014,sg_around_green
15,16,Tim Wilkinson,86,0.354,25.112,71,2014,sg_around_green
16,T17,Luke Donald,57,0.351,15.447,44,2014,sg_around_green
17,19,Stuart Appleby,92,0.345,29.017,84,2014,sg_around_green
18,20,Steven Bowditch,93,0.307,23.908,78,2014,sg_around_green
19,T17,Brendon Todd,108,0.289,26.266,91,2014,sg_around_green
20,21,Sergio Garcia,61,0.286,11.421,40,2014,sg_around_green
21,23,J.B. Holmes,86,0.283,21.825,77,2014,sg_around_green
22,24,Chris Stroud,88,0.278,20.038,72,2014,sg_around_green
23,25,Brian Gay,81,0.276,17.379,63,2014,sg_around_green
T24,T26,Bryce Molder,77,0.275,17.606,64,2014,sg_around_green
T24,22,Webb Simpson,87,0.275,20.315,74,2014,sg_around_green
26,28,Chad Collins,78,0.273,16.64,61,2014,sg_around_green
27,29,Retief Goosen,94,0.269,20.955,78,2014,sg_around_green
28,30,Phil Mickelson,71,0.266,13.319,50,2014,sg_around_green
29,34,Bill Haas,107,0.265,21.755,82,2014,sg_around_green
30,31,Scott Langley,95,0.262,20.714,79,2014,sg_around_green
31,32,Vijay Singh,83,0.261,19.824,76,2014,sg_around_green
32,14,Jordan Spieth,102,0.26,20.575,79,2014,sg_around_green
33,33,K.J. Choi,80,0.251,16.834,67,2014,sg_around_green
34,35,Seung-Yul Noh,92,0.248,18.571,75,2014,sg_around_green
35,36,Gonzalo Fernandez-Castaño,83,0.24,16.591,69,2014,sg_around_green
36,38,Cameron Tringale,111,0.23,22.567,98,2014,sg_around_green
37,37,Luke Guthrie,85,0.228,17.303,76,2014,sg_around_green
38,39,Jonas Blixt,64,0.221,9.509,43,2014,sg_around_green
39,40,Y.E. Yang,79,0.22,13.421,61,2014,sg_around_green
40,41,Brandt Snedeker,89,0.217,14.352,66,2014,sg_around_green
41,42,Russell Knox,92,0.215,17.832,83,2014,sg_around_green
42,43,Charles Howell III,106,0.201,19.139,95,2014,sg_around_green
43,T52,Hideki Matsuyama,82,0.198,12.657,64,2014,sg_around_green
44,44,Jason Dufner,57,0.192,8.073,42,2014,sg_around_green
T45,T45,Tyrone Van Aswegen,79,0.181,11.765,65,2014,sg_around_green
T45,T45,Jamie Lovemark,64,0.181,8.53,47,2014,sg_around_green
47,47,Trevor Immelman,84,0.176,11.8,67,2014,sg_around_green
48,58,Chris Kirk,105,0.169,14.498,86,2014,sg_around_green
49,48,Adam Scott,68,0.166,9.286,56,2014,sg_around_green
50,51,Jerry Kelly,80,0.16,10.528,66,2014,sg_around_green
51,T52,Jonathan Byrd,76,0.159,10.305,65,2014,sg_around_green
52,54,Matt Jones,83,0.157,9.43,60,2014,sg_around_green
53,55,Greg Chalmers,85,0.151,10.99,73,2014,sg_around_green
54,56,Bronson La'Cassie,51,0.145,5.21,36,2014,sg_around_green
T55,59,Jhonattan Vegas,77,0.125,8.015,64,2014,sg_around_green
T55,49,Morgan Hoffmann,103,0.125,11.226,90,2014,sg_around_green
T57,T60,Andres Romero,81,0.124,8.893,72,2014,sg_around_green
T57,T60,Lee Westwood,57,0.124,5.335,43,2014,sg_around_green
59,62,Billy Hurley III,86,0.123,8.842,72,2014,sg_around_green
60,63,Brian Harman,111,0.121,12.202,101,2014,sg_around_green
61,64,David Toms,64,0.12,6.468,54,2014,sg_around_green
62,65,Robert Streb,75,0.117,7.474,64,2014,sg_around_green
63,57,Bubba Watson,76,0.111,6.205,56,2014,sg_around_green
64,66,David Hearn,97,0.108,8.831,82,2014,sg_around_green
65,67,Spencer Levin,59,0.107,5.325,50,2014,sg_around_green
66,68,D.H. Lee,54,0.103,4.651,45,2014,sg_around_green
67,69,Boo Weekley,73,0.099,5.552,56,2014,sg_around_green
68,70,Ryo Ishikawa,75,0.095,5.869,62,2014,sg_around_green
69,71,Tim Clark,75,0.094,5.848,62,2014,sg_around_green
70,50,Zach Johnson,97,0.093,7.836,84,2014,sg_around_green
71,T97,Gary Woodland,93,0.087,6.353,73,2014,sg_around_green
72,72,Shawn Stefani,60,0.086,4.925,57,2014,sg_around_green
73,74,Mark Wilson,69,0.079,4.498,57,2014,sg_around_green
74,73,Ryan Palmer,85,0.078,5.198,67,2014,sg_around_green
75,75,Freddie Jacobson,91,0.068,5.541,81,2014,sg_around_green
